Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	Marginal.P	PS
DropViz_all_level1	SN.Neuron	10	14974	0.050431	0.13234	0.011062	5.1789e-06	0.054597	0.14327	0.0083788	7.4533e-11	1.2489e-09	0.52191394303889
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	10	14974	0.0061938	0.017261	0.010738	0.56406	0.038154	0.10633	0.0081391	2.7874e-06	4.6868e-06	0.0447675281565253
DropViz_all_level1	SN.Neuron	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2489e-09	NA
DropViz_TH_level1	Neuron	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.659e-07	NA
DropViz_all_level1	SN.Neuron	12	14895	0.03657	0.095881	0.0077415	2.3357e-06	0.04689	0.12294	0.0072035	7.7993e-11	1.2489e-09	0.557144235343573
Linnarsson_MouseBrainAtlas_level5	HBSER5	12	14895	0.11953	0.072538	0.032931	0.00028479	0.17666	0.10721	0.030652	8.411e-09	2.9561e-10	0.439059859586692
DropViz_all_level1	SN.Neuron	13	14895	0.03082	0.080806	0.0083615	0.00022871	0.043696	0.11457	0.0069582	3.4868e-10	1.2489e-09	0.384952340359466
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	13	14895	0.12139	0.066119	0.043734	0.0055164	0.21083	0.11483	0.036402	7.1147e-09	8.03e-10	0.277170796882768
DropViz_all_level1	SN.Neuron	14	13958	0.034612	0.090924	0.007693	6.8788e-06	0.036238	0.095194	0.0076065	1.9171e-06	1.2489e-09	0.90295024660752
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	14	13958	0.011238	0.021848	0.0079638	0.15824	0.016604	0.03228	0.0078796	0.035119	2.8178e-07	0.550503213837027
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	15	14974	0.04686	0.12852	0.0087232	7.915e-08	0.046239	0.12682	0.0085639	6.7965e-08	5.3368e-10	0.990768940878809
DropViz_CB_level1	Neuron	15	14974	-0.0039339	-0.010627	0.01051	0.70818	0.0067983	0.018365	0.010328	0.51041	2.7357e-07	0.513064636314908
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	16	14974	0.053329	0.14626	0.0091488	5.6924e-09	0.047779	0.13104	0.0084658	1.6954e-08	5.3368e-10	1.06099515769285
DropViz_ENT_level1	Neuron	16	14974	-0.021725	-0.056855	0.01358	0.10968	0.008297	0.021714	0.01258	0.50956	2.4132e-06	3.27820097522831
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	17	14974	0.048565	0.1332	0.0088309	3.8739e-08	0.04888	0.13406	0.0088145	2.9835e-08	5.3368e-10	0.984927809379238
DropViz_FC_level1	Neuron	17	14974	0.01091	0.028908	0.018491	0.55518	0.017061	0.045206	0.018476	0.35579	3.9474e-06	0.569435430755224
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	18	14974	0.046511	0.12756	0.0091049	3.2915e-07	0.050893	0.13958	0.0085202	2.3804e-09	5.3368e-10	0.751750317065205
DropViz_GP_level1	Neuron	18	14974	0.02298	0.060375	0.016836	0.17229	0.053308	0.14006	0.015768	0.00072461	2.182e-07	0.24323735805945
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	19	14974	0.046217	0.12675	0.0088259	1.6597e-07	0.045733	0.12543	0.0088182	2.1754e-07	5.3368e-10	1.01763755651174
DropViz_HC_level1	Neuron	19	14974	-0.024629	-0.066223	0.019044	0.19592	-0.020402	-0.054857	0.019044	0.28405	1.4467e-06	1.29512346317186
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	20	14974	0.051062	0.14004	0.0088132	7.0243e-09	0.051346	0.14082	0.0088125	5.7797e-09	5.3368e-10	0.989718768965896
DropViz_PC_level1	Neuron	20	14974	0.028918	0.077771	0.016241	0.074994	0.03062	0.082349	0.016256	0.059638	7.539e-06	0.918737997107863
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	21	14974	0.045659	0.12522	0.011705	9.6247e-05	0.049455	0.13564	0.0083138	2.7681e-09	5.3368e-10	0.469350095203395
DropViz_SN_level1	Neuron	21	14974	0.0089961	0.023607	0.019523	0.64496	0.062603	0.16428	0.013875	6.4733e-06	2.8375e-09	0.0367068480456677
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	22	NA	NA	NA	NA	NA	0.046855	0.1285	0.0083317	1.9041e-08	5.3368e-10	NA
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4691e-08	NA
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	23	14974	0.042492	0.11654	0.0091989	3.8843e-06	0.042003	0.1152	0.0083889	5.596e-07	5.3368e-10	0.865416090822171
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	23	14974	-0.0012868	-0.003586	0.0099275	0.89687	0.017525	0.04884	0.0090601	0.053097	4.6868e-06	0.0370769392456698
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	24	14974	0.047975	0.13158	0.0092653	2.2734e-07	0.049788	0.13655	0.0083945	3.0789e-09	5.3368e-10	0.780501985214464
DropViz_TH_level1	Neuron	24	14974	0.0071102	0.018468	0.015379	0.64384	0.040809	0.106	0.013946	0.0034368	5.659e-07	0.0776112084320814
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	25	14895	0.040388	0.1107	0.0083212	1.2247e-06	0.048435	0.13275	0.0079593	1.192e-09	5.3368e-10	0.662500369953472
Linnarsson_MouseBrainAtlas_level5	HBSER5	25	14895	0.1074	0.065176	0.032514	0.00095854	0.1536	0.093215	0.031114	8.0349e-07	2.9561e-10	0.495222328225926
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	26	14895	0.039094	0.10715	0.0086802	6.7272e-06	0.046724	0.12806	0.0079725	4.7117e-09	5.3368e-10	0.621145189732537
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	26	14895	0.0901	0.049076	0.040572	0.026384	0.16242	0.08847	0.037284	1.3311e-05	8.03e-10	0.323775138588662
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	27	13958	0.046959	0.12901	0.0086216	5.223e-08	0.046643	0.12814	0.00862	6.3741e-08	5.3368e-10	1.01202110646065
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	27	13958	0.012964	0.025204	0.0079671	0.10371	0.011986	0.023303	0.0079735	0.1328	2.8178e-07	1.12246487799836
DropViz_CB_level1	Neuron	28	14974	0.01571	0.042439	0.011186	0.16022	0.029414	0.07946	0.0064616	5.3527e-06	2.7357e-07	0.150866787688414
DropViz_ENT_level1	Neuron	28	14974	0.016547	0.043305	0.011026	0.13344	0.029187	0.076386	0.0063688	4.6249e-06	2.4132e-06	0.163960777426604
DropViz_CB_level1	Neuron	29	14974	0.0085021	0.022968	0.011537	0.46117	0.025996	0.070227	0.0069435	0.00018184	2.7357e-07	0.0898692622467265
DropViz_FC_level1	Neuron	29	14974	0.024732	0.06553	0.013026	0.057635	0.032399	0.085844	0.0078389	3.6001e-05	3.9474e-06	0.278893211602571
DropViz_CB_level1	Neuron	30	14974	0.004686	0.012659	0.011091	0.67267	0.027656	0.074711	0.0064888	2.0375e-05	2.7357e-07	0.0367089158281786
DropViz_GP_level1	Neuron	30	14974	0.028548	0.075005	0.01118	0.010676	0.032379	0.085071	0.0065395	7.4527e-07	2.182e-07	0.321751362408107
DropViz_CB_level1	Neuron	31	14974	0.012037	0.032517	0.011765	0.30628	0.029335	0.079245	0.0067367	1.343e-05	2.7357e-07	0.105478115609844
DropViz_HC_level1	Neuron	31	14974	0.022389	0.060198	0.012485	0.072962	0.032861	0.088358	0.0071483	4.3206e-06	1.4467e-06	0.211932632653338
DropViz_CB_level1	Neuron	32	14974	0.0083249	0.022489	0.011297	0.46117	0.024429	0.065993	0.0069987	0.00048357	2.7357e-07	0.101382847516851
DropViz_PC_level1	Neuron	32	14974	0.022861	0.061481	0.012589	0.06939	0.030144	0.081066	0.0077984	0.00011143	7.539e-06	0.293120095372503
DropViz_CB_level1	Neuron	33	14974	-0.0081414	-0.021993	0.011646	0.48452	0.029241	0.078993	0.0063876	4.7364e-06	2.7357e-07	0.0591013691785401
DropViz_SN_level1	Neuron	33	14974	0.044633	0.11712	0.011629	0.00012457	0.037834	0.099279	0.0063751	3.0129e-09	2.8375e-09	0.458230199813201
DropViz_CB_level1	Neuron	34	14974	-0.0077551	-0.02095	0.009347	0.40673	0.0020131	0.0054383	0.00905	0.82397	2.7357e-07	4.64621591952095
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	34	14974	0.041587	0.11406	0.010035	3.4324e-05	0.039487	0.1083	0.0097109	4.8032e-05	1.4691e-08	1.03379270897416
DropViz_CB_level1	Neuron	35	14974	0.018709	0.050539	0.0097778	0.055719	0.032783	0.08856	0.0084266	0.00010053	2.7357e-07	0.313679198602962
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	35	14974	0.026887	0.07493	0.0094808	0.0045763	0.036094	0.10059	0.0081695	1.0027e-05	4.6868e-06	0.468006711179299
DropViz_CB_level1	Neuron	36	14974	0.00095722	0.0025858	0.012419	0.93856	0.026142	0.07062	0.0066417	8.3223e-05	2.7357e-07	0.00674990230477349
DropViz_TH_level1	Neuron	36	14974	0.032568	0.084591	0.013571	0.016412	0.033452	0.086887	0.0072563	4.0601e-06	5.659e-07	0.331048994018701
DropViz_CB_level1	Neuron	37	14895	0.027691	0.074765	0.0068823	5.7635e-05	0.035682	0.09634	0.0066941	9.953e-08	2.7357e-07	0.60543928231375
Linnarsson_MouseBrainAtlas_level5	HBSER5	37	14895	0.15494	0.094029	0.031435	8.3598e-07	0.18474	0.11211	0.030567	1.544e-09	2.9561e-10	0.689769700144466
DropViz_CB_level1	Neuron	38	14895	0.021016	0.056742	0.0071347	0.0032287	0.034037	0.091901	0.0064409	1.2782e-07	2.7357e-07	0.36135606194989
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	38	14895	0.17089	0.093079	0.040379	2.3297e-05	0.22218	0.12102	0.036441	1.108e-09	8.03e-10	0.517304513265484
DropViz_CB_level1	Neuron	39	13958	0.025336	0.068618	0.0068377	0.00021193	0.027753	0.075165	0.0067423	3.8726e-05	2.7357e-07	0.832685802605731
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	39	13958	0.016644	0.032359	0.0078735	0.034535	0.021523	0.041844	0.0077663	0.00559	2.8178e-07	0.648916009049262
DropViz_ENT_level1	Neuron	40	14974	0.003847	0.010068	0.013537	0.77628	0.027641	0.072338	0.006936	6.7786e-05	2.4132e-06	0.0263816973954407
DropViz_FC_level1	Neuron	40	14974	0.030844	0.081725	0.015071	0.040712	0.034522	0.091471	0.0077206	7.8291e-06	3.9474e-06	0.272267744915472
DropViz_ENT_level1	Neuron	41	14974	-0.015948	-0.041738	0.01564	0.30788	0.02746	0.071866	0.0064521	2.0943e-05	2.4132e-06	0.109344469933121
DropViz_GP_level1	Neuron	41	14974	0.048377	0.1271	0.015879	0.0023184	0.033626	0.088347	0.0065487	2.8614e-07	2.182e-07	0.402665740116851
DropViz_ENT_level1	Neuron	42	14974	0.010335	0.027048	0.013479	0.44324	0.029835	0.078081	0.0065991	6.2016e-06	2.4132e-06	0.067856228195197
DropViz_HC_level1	Neuron	42	14974	0.023885	0.064222	0.014396	0.097119	0.03351	0.090103	0.0070477	2.0058e-06	1.4467e-06	0.177737262206702
DropViz_ENT_level1	Neuron	43	14974	0.0043062	0.01127	0.01278	0.73617	0.025943	0.067895	0.0069994	0.00021097	2.4132e-06	0.0361887572427731
DropViz_PC_level1	Neuron	43	14974	0.028485	0.076607	0.014078	0.043056	0.032454	0.087281	0.0077093	2.5718e-05	7.539e-06	0.297611527374504
DropViz_ENT_level1	Neuron	44	14974	-0.051081	-0.13368	0.017007	0.0026728	0.028362	0.074226	0.0063974	9.3458e-06	2.4132e-06	0.511600184916732
DropViz_SN_level1	Neuron	44	14974	0.087608	0.22989	0.017379	4.6897e-07	0.039235	0.10296	0.006534	1.9622e-09	2.8375e-09	0.726848321515517
DropViz_ENT_level1	Neuron	45	14974	-0.030562	-0.079984	0.012728	0.016355	-0.020035	-0.052433	0.012504	0.10912	2.4132e-06	1.85672751468749
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	45	14974	0.045595	0.12505	0.010473	1.3474e-05	0.040818	0.11195	0.010283	7.245e-05	1.4691e-08	1.17646101958818
DropViz_ENT_level1	Neuron	46	14974	0.019573	0.051224	0.010434	0.060694	0.035107	0.091879	0.008112	1.5162e-05	2.4132e-06	0.252499015191403
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	46	14974	0.024562	0.068452	0.010378	0.017964	0.03681	0.10258	0.0080682	5.1021e-06	4.6868e-06	0.329840164900849
DropViz_ENT_level1	Neuron	47	14974	-0.012471	-0.032637	0.015611	0.42439	0.026538	0.069453	0.0066037	5.8808e-05	2.4132e-06	0.0879870613194108
DropViz_TH_level1	Neuron	47	14974	0.046957	0.12196	0.017028	0.005831	0.03463	0.089946	0.0072014	1.5341e-06	5.659e-07	0.384279450798351
DropViz_ENT_level1	Neuron	48	14895	0.024639	0.064456	0.0072802	0.00071518	0.035154	0.091962	0.0068539	2.9505e-07	2.4132e-06	0.481705108454712
Linnarsson_MouseBrainAtlas_level5	HBSER5	48	14895	0.13899	0.08435	0.032599	2.0236e-05	0.17637	0.10703	0.030683	9.2164e-09	2.9561e-10	0.58414674212819
DropViz_ENT_level1	Neuron	49	14895	0.017753	0.046443	0.0076985	0.02112	0.03287	0.085986	0.0065362	4.9934e-07	2.4132e-06	0.265853928782144
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	49	14895	0.15921	0.08672	0.042892	0.00020646	0.21153	0.11522	0.036405	6.3596e-09	8.03e-10	0.449598306044783
DropViz_ENT_level1	Neuron	50	13958	0.023063	0.060491	0.0068554	0.00076963	0.025109	0.065856	0.0067559	0.00020274	2.4132e-06	0.843126713784899
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	50	13958	0.014009	0.027236	0.0079924	0.079657	0.018586	0.036134	0.0078787	0.018336	2.8178e-07	0.63268207768076
DropViz_FC_level1	Neuron	51	14974	0.0028935	0.0076668	0.019345	0.8811	0.037077	0.098239	0.0077691	1.8386e-06	3.9474e-06	0.00958498415210482
DropViz_GP_level1	Neuron	51	14974	0.034551	0.090775	0.017907	0.053699	0.037004	0.09722	0.0071907	2.6953e-07	2.182e-07	0.193325901390541
DropViz_FC_level1	Neuron	52	NA	NA	NA	NA	NA	0.032926	0.087242	0.0075902	1.4477e-05	3.9474e-06	NA
DropViz_HC_level1	Neuron	52	NA	NA	NA	NA	NA	0.029765	0.080032	0.0074359	6.2884e-05	1.4467e-06	NA
DropViz_FC_level1	Neuron	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9474e-06	NA
DropViz_PC_level1	Neuron	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.539e-06	NA
DropViz_FC_level1	Neuron	54	14974	-0.0096258	-0.025505	0.016181	0.55192	0.037364	0.098999	0.0078576	2.0027e-06	3.9474e-06	0.0452977306255454
DropViz_SN_level1	Neuron	54	14974	0.049192	0.12908	0.014809	0.0008969	0.04149	0.10887	0.0071889	8.0274e-09	2.8375e-09	0.37641704294643
DropViz_FC_level1	Neuron	55	14974	-0.0054795	-0.014519	0.010601	0.60523	0.014245	0.037744	0.0096113	0.13833	3.9474e-06	0.253851368110788
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	55	14974	0.044962	0.12331	0.010223	1.0991e-05	0.042727	0.11718	0.0092627	4.0072e-06	1.4691e-08	0.918809842233234
DropViz_FC_level1	Neuron	56	14974	0.03489	0.092446	0.011452	0.0023184	0.048072	0.12737	0.0093525	2.7838e-07	3.9474e-06	0.401932287512493
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	56	14974	0.01962	0.054679	0.0098398	0.046174	0.036925	0.10291	0.0080373	4.3813e-06	4.6868e-06	0.249254114484371
DropViz_FC_level1	Neuron	57	14974	0.012266	0.0325	0.017444	0.48196	0.035955	0.095268	0.0076567	2.6785e-06	3.9474e-06	0.0568885212601585
DropViz_TH_level1	Neuron	57	14974	0.025704	0.066762	0.017007	0.13071	0.036449	0.094671	0.0074644	1.0556e-06	5.659e-07	0.147860971120166
DropViz_FC_level1	Neuron	58	14895	0.028218	0.074702	0.0081034	0.00049876	0.038102	0.10087	0.0078107	1.0823e-06	3.9474e-06	0.553520083752317
Linnarsson_MouseBrainAtlas_level5	HBSER5	58	14895	0.14456	0.087729	0.031844	5.6806e-06	0.17436	0.10581	0.030685	1.3562e-08	2.9561e-10	0.666728728688375
DropViz_FC_level1	Neuron	59	14895	0.019815	0.052457	0.0086057	0.021319	0.03533	0.09353	0.0075955	3.3253e-06	3.9474e-06	0.305071479039618
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	59	14895	0.15816	0.086145	0.04131	0.00012945	0.20295	0.11054	0.036448	2.6218e-08	8.03e-10	0.51282055018081
DropViz_FC_level1	Neuron	60	13958	0.025938	0.068859	0.0084647	0.002186	0.027975	0.074266	0.0083836	0.00084955	3.9474e-06	0.866334591762605
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	60	13958	0.013645	0.026529	0.0078587	0.082525	0.016983	0.033016	0.0077853	0.029174	2.8178e-07	0.705805621292665
DropViz_GP_level1	Neuron	61	14974	0.039449	0.10365	0.017324	0.022795	0.036888	0.096915	0.0067342	4.3822e-08	2.182e-07	0.223170930990268
DropViz_HC_level1	Neuron	61	14974	-0.0029195	-0.0078499	0.018192	0.87251	0.035248	0.094776	0.0070729	6.3142e-07	1.4467e-06	0.00955364968719914
DropViz_GP_level1	Neuron	62	14974	0.029215	0.076757	0.016345	0.073904	0.035049	0.092085	0.0072496	1.3479e-06	2.182e-07	0.192719945812078
DropViz_PC_level1	Neuron	62	14974	0.0069569	0.018709	0.017469	0.69045	0.03494	0.093966	0.0077486	6.5583e-06	7.539e-06	0.0310363280177138
DropViz_GP_level1	Neuron	63	14974	-0.014716	-0.038665	0.019133	0.44182	0.033004	0.086713	0.0065279	4.3367e-07	2.182e-07	0.0557541277340455
DropViz_SN_level1	Neuron	63	14974	0.051117	0.13414	0.019266	0.0079812	0.037187	0.097583	0.0065716	1.5537e-08	2.8375e-09	0.268668261224038
DropViz_GP_level1	Neuron	64	14974	-0.00031124	-0.00081773	0.012422	0.98001	0.016934	0.044491	0.011856	0.15321	2.182e-07	0.0107639057748164
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	64	14974	0.047871	0.13129	0.010364	3.8918e-06	0.047793	0.13108	0.0098847	1.3446e-06	1.4691e-08	0.921388959202076
DropViz_GP_level1	Neuron	65	14974	0.044679	0.11738	0.01124	7.0744e-05	0.053841	0.14146	0.0089034	1.5101e-09	2.182e-07	0.470503692713213
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	65	14974	0.013658	0.038062	0.010227	0.18176	0.038472	0.10722	0.008105	2.0876e-06	4.6868e-06	0.130361920031593
DropViz_GP_level1	Neuron	66	14974	0.019374	0.050902	0.017453	0.26698	0.033119	0.087014	0.0066826	7.2781e-07	2.182e-07	0.093438083232896
DropViz_TH_level1	Neuron	66	14974	0.016041	0.041664	0.018816	0.39395	0.035337	0.091782	0.0072048	9.4623e-07	5.659e-07	0.067157814483078
DropViz_GP_level1	Neuron	67	14895	0.028365	0.074445	0.0071893	8.0025e-05	0.037676	0.098882	0.0068458	3.7881e-08	2.182e-07	0.55200848194312
Linnarsson_MouseBrainAtlas_level5	HBSER5	67	14895	0.13589	0.082465	0.032224	2.4909e-05	0.17493	0.10616	0.030682	1.2111e-08	2.9561e-10	0.581501626885375
DropViz_GP_level1	Neuron	68	14895	0.021615	0.05673	0.007625	0.004592	0.035423	0.092969	0.0066134	8.6285e-08	2.182e-07	0.330970655145371
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	68	14895	0.15251	0.08307	0.041973	0.00028054	0.21181	0.11537	0.036398	6.0376e-09	8.03e-10	0.432162863952848
DropViz_GP_level1	Neuron	69	13958	0.025886	0.068101	0.0071873	0.00031731	0.027496	0.072335	0.0071059	0.0001096	2.182e-07	0.883421434444707
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	69	13958	0.011859	0.023056	0.0079651	0.13653	0.016174	0.031444	0.007878	0.040089	2.8178e-07	0.619031870933289
DropViz_HC_level1	Neuron	70	NA	NA	NA	NA	NA	0.027743	0.074596	0.0074956	0.00021528	1.4467e-06	NA
DropViz_PC_level1	Neuron	70	NA	NA	NA	NA	NA	0.030853	0.082974	0.0075369	4.271e-05	7.539e-06	NA
DropViz_HC_level1	Neuron	71	14974	-0.017513	-0.047089	0.015728	0.26552	0.035773	0.096187	0.0071208	5.1282e-07	1.4467e-06	0.0915579573753041
DropViz_SN_level1	Neuron	71	14974	0.056847	0.14917	0.014963	0.00014574	0.04199	0.11019	0.0067713	5.7554e-10	2.8375e-09	0.415200496495836
DropViz_HC_level1	Neuron	72	14974	-0.012748	-0.034277	0.010512	0.22527	0.0045323	0.012186	0.0097238	0.64115	1.4467e-06	3.35316750909083
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	72	14974	0.043974	0.1206	0.010202	1.6417e-05	0.039256	0.10766	0.0094314	3.1694e-05	1.4691e-08	1.06349895495212
DropViz_HC_level1	Neuron	73	14974	0.03037	0.081658	0.011888	0.010637	0.045723	0.12294	0.0096985	2.4459e-06	1.4467e-06	0.351627779548493
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	73	14974	0.022264	0.062048	0.0099714	0.025576	0.036999	0.10311	0.0081355	5.4626e-06	4.6868e-06	0.302543836758267
DropViz_HC_level1	Neuron	74	14974	0.0070953	0.019078	0.016364	0.66459	0.033111	0.089029	0.0070305	2.5046e-06	1.4467e-06	0.0316796839177551
DropViz_TH_level1	Neuron	74	14974	0.029591	0.076857	0.016808	0.078336	0.036171	0.09395	0.0072203	5.5165e-07	5.659e-07	0.17673045063311
DropViz_HC_level1	Neuron	75	14895	0.028326	0.076094	0.0077103	0.00023983	0.038193	0.1026	0.0074152	2.63e-07	1.4467e-06	0.550162940274698
Linnarsson_MouseBrainAtlas_level5	HBSER5	75	14895	0.14741	0.089461	0.031841	3.6934e-06	0.17975	0.10908	0.030614	4.4137e-09	2.9561e-10	0.650202925448498
DropViz_HC_level1	Neuron	76	14895	0.02006	0.053887	0.0081737	0.014132	0.03564	0.095742	0.007129	5.8208e-07	1.4467e-06	0.296678625819904
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	76	14895	0.16244	0.08848	0.041751	0.00010036	0.21264	0.11582	0.036403	5.29e-09	8.03e-10	0.483104927481327
DropViz_HC_level1	Neuron	77	13958	0.026232	0.070653	0.0077806	0.00074995	0.028457	0.076647	0.0076842	0.00021365	1.4467e-06	0.851420907619465
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	77	13958	0.014372	0.027942	0.0079117	0.069303	0.018572	0.036106	0.007816	0.017508	2.8178e-07	0.659877092280575
DropViz_PC_level1	Neuron	78	14974	-0.0044445	-0.011953	0.014912	0.76566	0.035329	0.095011	0.0078619	7.056e-06	7.539e-06	0.0225109889281865
DropViz_SN_level1	Neuron	78	14974	0.043146	0.11322	0.013747	0.0017006	0.039664	0.10408	0.0072453	4.4623e-08	2.8375e-09	0.37676620171948
DropViz_PC_level1	Neuron	79	14974	-0.0010515	-0.0028278	0.010016	0.91639	0.017693	0.047584	0.0091139	0.052233	7.539e-06	0.0295772472825597
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	79	14974	0.045582	0.12501	0.010134	6.9132e-06	0.045139	0.1238	0.0092147	9.7556e-07	1.4691e-08	0.858515875711505
DropViz_PC_level1	Neuron	80	14974	0.033897	0.091162	0.010727	0.0015804	0.04641	0.12481	0.008992	2.4862e-07	7.539e-06	0.424142368758109
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	80	14974	0.020473	0.057056	0.0095727	0.032476	0.036972	0.10304	0.0080261	4.1312e-06	4.6868e-06	0.276459609803153
DropViz_PC_level1	Neuron	81	14974	0.011783	0.031689	0.016214	0.46739	0.034096	0.091697	0.0076241	7.8026e-06	7.539e-06	0.064670333235986
DropViz_TH_level1	Neuron	81	14974	0.02499	0.064909	0.016026	0.11894	0.03527	0.091608	0.0075356	2.8891e-06	5.659e-07	0.166931293022874
DropViz_PC_level1	Neuron	82	14895	0.027134	0.07291	0.0079201	0.00061427	0.03608	0.09695	0.0076854	2.6951e-06	7.539e-06	0.576655692027558
