Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
Allen_Human_MTG_level2	Exc_L5.6_THEMIS_DCSTAMP	17668	0.017862	0.042468	0.0098707	0.035189	1	1
Allen_Human_MTG_level2	Astro_L1.6_FGFR3_SLC14A1	17668	0.013011	0.022752	0.0072593	0.036552	1	1
Allen_Human_MTG_level2	Endo_L2.6_NOSTRIN	17668	0.01224	0.01703	0.0076833	0.055577	1	1
Allen_Human_MTG_level2	Inh_L1.3_SST_CALB1	17668	0.021081	0.039476	0.014839	0.077716	1	1
Allen_Human_MTG_level2	Inh_L1.3_PAX6_SYT6	17668	0.015066	0.033603	0.012173	0.10793	1	1
Allen_Human_MTG_level2	Inh_L4.5_PVALB_MEPE	17668	0.012933	0.02909	0.012073	0.14204	1	1
Allen_Human_MTG_level2	Inh_L3.6_SST_NPY	17668	0.010185	0.022618	0.0099209	0.15231	1	1
Allen_Human_MTG_level2	Inh_L1.2_PAX6_TNFAIP8L3	17668	0.010091	0.022923	0.0099841	0.15608	1	1
Allen_Human_MTG_level2	Astro_L1.2_FGFR3_GFAP	17668	0.0072862	0.011314	0.0078352	0.17621	1	1
Allen_Human_MTG_level2	Inh_L5.6_PVALB_LGR5	17668	0.010594	0.022128	0.012149	0.19162	1	1
Allen_Human_MTG_level2	Inh_L5.6_SST_KLHDC8A	17668	0.010364	0.022463	0.012467	0.20292	1	1
Allen_Human_MTG_level2	Inh_L3.5_SST_ADGRG6	17668	0.011036	0.022072	0.01402	0.2156	1	1
Allen_Human_MTG_level2	Exc_L3.4_RORB_CARM1P1	17668	0.0090051	0.020992	0.012483	0.23534	1	1
Allen_Human_MTG_level2	Exc_L5.6_THEMIS_FGF10	17668	0.006775	0.015967	0.010368	0.25674	1	1
Allen_Human_MTG_level2	Exc_L5.6_THEMIS_CRABP1	17668	0.0064732	0.01504	0.01043	0.26742	1	1
Allen_Human_MTG_level2	Exc_L3.5_RORB_FILIP1L	17668	0.0071294	0.015846	0.013274	0.2956	1	1
Allen_Human_MTG_level2	Inh_L3.6_VIP_HS3ST3A1	17668	0.0061599	0.012594	0.01358	0.32506	1	1
Allen_Human_MTG_level2	Inh_L2.4_VIP_SPAG17	17668	0.0053954	0.010779	0.012313	0.33062	1	1
Allen_Human_MTG_level2	Exc_L5.6_SLC17A7_IL15	17668	0.0021124	0.0048024	0.011723	0.4285	1	1
Allen_Human_MTG_level2	Inh_L4.6_SST_B3GAT2	17668	0.0015767	0.003134	0.014827	0.45766	1	1
Allen_Human_MTG_level2	Inh_L2.6_VIP_QPCT	17668	0.0012507	0.0025449	0.011778	0.45772	1	1
Allen_Human_MTG_level2	Inh_L2.6_LAMP5_CA1	17668	0.0011515	0.0024412	0.013103	0.46499	1	1
Allen_Human_MTG_level2	Inh_L1.3_VIP_GGH	17668	0.0010854	0.0020822	0.012963	0.46663	1	1
Allen_Human_MTG_level2	Inh_L2.5_PVALB_SCUBE3	17668	0.00047906	0.0010081	0.01088	0.48244	1	1
Allen_Human_MTG_level2	Inh_L1.2_VIP_PCDH20	17668	0.0003533	0.00070123	0.01315	0.48928	1	1
Allen_Human_MTG_level2	Inh_L1.4_VIP_OPRM1	17668	0.00029785	0.00058674	0.013098	0.49093	1	1
Allen_Human_MTG_level2	Exc_L6_FEZF2_SCUBE1	17668	-0.00067436	-0.0015617	0.010519	0.52556	1	1
Allen_Human_MTG_level2	Inh_L1_SST_NMBR	17668	-0.0010395	-0.0020891	0.013476	0.53074	1	1
Allen_Human_MTG_level2	Inh_L1.2_SST_BAGE2	17668	-0.0012786	-0.0024247	0.014257	0.53573	1	1
Allen_Human_MTG_level2	Inh_L1.2_GAD1_MC4R	17668	-0.0028532	-0.0055243	0.012751	0.58853	1	1
Allen_Human_MTG_level2	Exc_L4.5_RORB_DAPK2	17668	-0.0037355	-0.0080785	0.013735	0.60717	1	1
Allen_Human_MTG_level2	Inh_L5.6_GAD1_GLP1R	17668	-0.0039001	-0.0085622	0.011541	0.63229	1	1
Allen_Human_MTG_level2	Inh_L1.2_VIP_TSPAN12	17668	-0.0042878	-0.0087055	0.012213	0.63723	1	1
Allen_Human_MTG_level2	Inh_L1.2_VIP_LBH	17668	-0.0049503	-0.010599	0.013543	0.64263	1	1
Allen_Human_MTG_level2	Inh_L1.3_VIP_CHRM2	17668	-0.0058242	-0.011429	0.014194	0.65921	1	1
Allen_Human_MTG_level2	Inh_L5.6_SST_MIR548F2	17668	-0.0056274	-0.012395	0.013252	0.66445	1	1
Allen_Human_MTG_level2	Inh_L1.2_PAX6_CDH12	17668	-0.0056837	-0.011646	0.012704	0.6727	1	1
Allen_Human_MTG_level2	Exc_L5.6_RORB_TTC12	17668	-0.0055649	-0.012967	0.012369	0.67361	1	1
Allen_Human_MTG_level2	Inh_L1.3_VIP_ADAMTSL1	17668	-0.006292	-0.013006	0.013816	0.6756	1	1
Allen_Human_MTG_level2	Inh_L3.6_SST_HPGD	17668	-0.0065713	-0.014271	0.013646	0.68494	1	1
Allen_Human_MTG_level2	Inh_L2.4_VIP_CBLN1	17668	-0.0069383	-0.013386	0.013253	0.69969	1	1
Allen_Human_MTG_level2	Exc_L3.5_RORB_TWIST2	17668	-0.0070821	-0.015103	0.012776	0.71032	1	1
Allen_Human_MTG_level2	Exc_L2.3_LINC00507_FREM3	17668	-0.0073143	-0.01688	0.013096	0.71175	1	1
Allen_Human_MTG_level2	Inh_L2.4_SST_FRZB	17668	-0.0075111	-0.015539	0.013351	0.71313	1	1
Allen_Human_MTG_level2	Exc_L5.6_FEZF2_ABO	17668	-0.0067327	-0.015488	0.011907	0.71411	1	1
Allen_Human_MTG_level2	Inh_L4.6_PVALB_SULF1	17668	-0.0081925	-0.017157	0.014199	0.71802	1	1
Allen_Human_MTG_level2	Exc_L5.6_THEMIS_C1QL3	17668	-0.0073217	-0.017174	0.012596	0.71947	1	1
Allen_Human_MTG_level2	Inh_L1.4_VIP_PENK	17668	-0.0064055	-0.013849	0.010813	0.72319	1	1
Allen_Human_MTG_level2	Inh_L4.6_SST_GXYLT2	17668	-0.0079312	-0.017114	0.012706	0.73375	1	1
Allen_Human_MTG_level2	Inh_L2.4_PVALB_WFDC2	17668	-0.0086382	-0.018773	0.013421	0.74008	1	1
Allen_Human_MTG_level2	Inh_L1.4_LAMP5_LCP2	17668	-0.0085811	-0.017788	0.012765	0.74928	1	1
Allen_Human_MTG_level2	Exc_L3.5_RORB_COL22A1	17668	-0.0083358	-0.017472	0.01226	0.75171	1	1
Allen_Human_MTG_level2	Inh_L1.3_VIP_CCDC184	17668	-0.0089606	-0.018849	0.01312	0.75268	1	1
Allen_Human_MTG_level2	Exc_L4.6_FEZF2_IL26	17668	-0.0083446	-0.018521	0.012107	0.75466	1	1
Allen_Human_MTG_level2	Inh_L2.3_VIP_CASC6	17668	-0.0087344	-0.019397	0.012555	0.75669	1	1
Allen_Human_MTG_level2	Inh_L4.5_SST_STK32A	17668	-0.010011	-0.019144	0.013223	0.77548	1	1
Allen_Human_MTG_level2	Exc_L4.5_FEZF2_SCN4B	17668	-0.0082076	-0.0197	0.01032	0.78678	1	1
Allen_Human_MTG_level2	Inh_L5.6_SST_TH	17668	-0.0092425	-0.020324	0.011273	0.79384	1	1
Allen_Human_MTG_level2	Exc_L4.5_RORB_FOLH1B	17668	-0.010613	-0.02496	0.01267	0.79887	1	1
Allen_Human_MTG_level2	Inh_L1.4_VIP_CHRNA6	17668	-0.0099311	-0.020583	0.01164	0.80322	1	1
Allen_Human_MTG_level2	Exc_L3.5_RORB_ESR1	17668	-0.0129	-0.027561	0.013486	0.8306	1	1
Allen_Human_MTG_level2	Exc_L5.6_FEZF2_EFTUD1P1	17668	-0.012186	-0.028531	0.011785	0.84944	1	1
Allen_Human_MTG_level2	Exc_L4.6_RORB_C1R	17668	-0.01508	-0.033368	0.012958	0.87773	1	1
Allen_Human_MTG_level2	Inh_L2.5_VIP_TYR	17668	-0.017453	-0.03508	0.01276	0.91431	1	1
Allen_Human_MTG_level2	Inh_L2.5_VIP_SERPINF1	17668	-0.018307	-0.036042	0.012693	0.92538	1	1
Allen_Human_MTG_level2	Inh_L1.2_LAMP5_DBP	17668	-0.016022	-0.033529	0.010335	0.93946	1	1
Allen_Human_MTG_level2	Inh_L5.6_SST_NPM1P10	17668	-0.02261	-0.047392	0.014412	0.94164	1	1
Allen_Human_MTG_level2	Exc_L4.6_RORB_SEMA3E	17668	-0.022675	-0.049667	0.014421	0.94206	1	1
Allen_Human_MTG_level2	Inh_L1_SST_CHRNA4	17668	-0.019252	-0.03843	0.0122	0.9427	1	1
Allen_Human_MTG_level2	Exc_L2_LAMP5_LTK	17668	-0.019888	-0.042637	0.012494	0.94427	1	1
Allen_Human_MTG_level2	Exc_L6_FEZF2_OR2T8	17668	-0.015924	-0.038377	0.009767	0.94848	1	1
Allen_Human_MTG_level2	Exc_L2.4_LINC00507_GLP2R	17668	-0.023945	-0.052453	0.013211	0.96504	1	1
Allen_Mouse_ALM2_level1	Glutamatergic	14940	0.015924	0.043557	0.0094574	0.046128	0.184512	1
Allen_Mouse_ALM2_level1	GABAergic	14940	0.017025	0.044438	0.011173	0.063787	0.255148	1
Allen_Mouse_ALM2_level1	Non.Neuronal	14940	0.0027018	0.0043922	0.010744	0.40072	1	1
Allen_Mouse_ALM2_level1	Endothelial	14940	-0.023964	-0.04075	0.0085416	0.99749	1	1
Allen_Mouse_ALM2_level2	L5_PT	14940	0.017883	0.049564	0.0103	0.041276	0.949348	1
Allen_Mouse_ALM2_level2	L5_IT	14940	0.016105	0.044876	0.010445	0.061569	1	1
Allen_Mouse_ALM2_level2	Oligo	14940	0.010941	0.02146	0.0078299	0.081167	1	1
Allen_Mouse_ALM2_level2	Sncg	14940	0.0099737	0.027399	0.010418	0.16921	1	1
Allen_Mouse_ALM2_level2	Astro	14940	0.0062561	0.012216	0.0065741	0.17065	1	1
Allen_Mouse_ALM2_level2	Pvalb	14940	0.008607	0.023546	0.010317	0.20208	1	1
Allen_Mouse_ALM2_level2	Vip	14940	0.010421	0.026395	0.012811	0.20798	1	1
Allen_Mouse_ALM2_level2	Lamp5	14940	0.0072626	0.019678	0.0116	0.26564	1	1
Allen_Mouse_ALM2_level2	L2.3_IT	14940	0.005627	0.015774	0.009774	0.28241	1	1
Allen_Mouse_ALM2_level2	Sst	14940	0.0058881	0.015918	0.011577	0.30551	1	1
Allen_Mouse_ALM2_level2	Serpinf1	14940	0.0055918	0.015006	0.011136	0.30779	1	1
Allen_Mouse_ALM2_level2	L4	14940	0.0026032	0.0073117	0.0066615	0.34798	1	1
Allen_Mouse_ALM2_level2	Macrophage	14940	0.0024818	0.0042368	0.0066668	0.35485	1	1
Allen_Mouse_ALM2_level2	NP	14940	0.0022021	0.0059972	0.010999	0.42066	1	1
Allen_Mouse_ALM2_level2	Meis2	14940	0.0011565	0.0023837	0.0087103	0.44719	1	1
Allen_Mouse_ALM2_level2	L6b	14940	0.00091171	0.0025329	0.010629	0.46582	1	1
Allen_Mouse_ALM2_level2	L6_IT	14940	-0.0014744	-0.0041448	0.0099693	0.55879	1	1
Allen_Mouse_ALM2_level2	Peri	14940	-0.0011592	-0.0022784	0.0052703	0.58704	1	1
Allen_Mouse_ALM2_level2	CR	14940	-0.0076192	-0.015727	0.0078537	0.834	1	1
Allen_Mouse_ALM2_level2	L6_CT	14940	-0.010917	-0.030265	0.010981	0.83993	1	1
Allen_Mouse_ALM2_level2	Endo	14940	-0.0091117	-0.016692	0.0065151	0.91902	1	1
Allen_Mouse_ALM2_level2	SMC	14940	-0.016086	-0.029939	0.0065299	0.99311	1	1
Allen_Mouse_ALM2_level2	VLMC	14940	-0.018207	-0.031202	0.0071332	0.99465	1	1
Allen_Mouse_ALM2_level3	OPC_Pdgfra_Ccnb1	14940	0.008992	0.029167	0.0037691	0.0085301	1	1
Allen_Mouse_ALM2_level3	L6_IT_VISp_Car3	14940	0.010472	0.032145	0.0055197	0.028906	1	1
Allen_Mouse_ALM2_level3	Pvalb_Sema3e_Kank4	14940	0.018492	0.052572	0.010058	0.033008	1	1
Allen_Mouse_ALM2_level3	L5_IT_ALM_Lypd1_Gpr88	14940	0.018083	0.050559	0.011264	0.054212	1	1
Allen_Mouse_ALM2_level3	Oligo_Synpr	14940	0.0081739	0.020238	0.0053221	0.062298	1	1
Allen_Mouse_ALM2_level3	L5_PT_ALM_Hpgd	14940	0.01671	0.046712	0.011231	0.068412	1	1
Allen_Mouse_ALM2_level3	L5_IT_ALM_Tmem163_Arhgap25	14940	0.016131	0.045648	0.010959	0.070519	1	1
Allen_Mouse_ALM2_level3	L5_PT_ALM_Slco2a1	14940	0.015616	0.043323	0.01104	0.078607	1	1
Allen_Mouse_ALM2_level3	Oligo_Serpinb1a	14940	0.0083922	0.016591	0.0059752	0.080093	1	1
Allen_Mouse_ALM2_level3	L5_IT_ALM_Tmem163_Dmrtb1	14940	0.014558	0.041137	0.010724	0.08731	1	1
Allen_Mouse_ALM2_level3	Astro_Aqp4	14940	0.0078892	0.015405	0.0061582	0.10009	1	1
Allen_Mouse_ALM2_level3	L5_IT_ALM_Tnc	14940	0.014077	0.039521	0.011126	0.1029	1	1
Allen_Mouse_ALM2_level3	OPC_Pdgfra_Grm5	14940	0.0087957	0.01715	0.0071031	0.10782	1	1
Allen_Mouse_ALM2_level3	L6b_Hsd17b2	14940	0.011927	0.033658	0.010045	0.11755	1	1
Allen_Mouse_ALM2_level3	L5_PT_ALM_Npsr1	14940	0.012606	0.035436	0.01092	0.12417	1	1
Allen_Mouse_ALM2_level3	L5_IT_ALM_Pld5	14940	0.01357	0.037791	0.011767	0.12441	1	1
Allen_Mouse_ALM2_level3	Lamp5_Fam19a1_Tmem182	14940	0.014149	0.039159	0.012452	0.12791	1	1
Allen_Mouse_ALM2_level3	L5_IT_ALM_Cbln4_Fezf2	14940	0.01263	0.035357	0.011982	0.14594	1	1
Allen_Mouse_ALM2_level3	Endo_Cytl1	14940	0.0047242	0.010659	0.0045823	0.15129	1	1
Allen_Mouse_ALM2_level3	Vip_Rspo1_Itga4	14940	0.010997	0.027954	0.011262	0.16443	1	1
Allen_Mouse_ALM2_level3	Sncg_Vip_Itih5	14940	0.0098458	0.02713	0.011809	0.20221	1	1
Allen_Mouse_ALM2_level3	Pvalb_Th_Sst	14940	0.0079969	0.022168	0.0096559	0.20379	1	1
Allen_Mouse_ALM2_level3	Vip_Pygm_C1ql1	14940	0.010408	0.026969	0.012731	0.20681	1	1
Allen_Mouse_ALM2_level3	Microglia_Siglech	14940	0.0050726	0.0085835	0.0062514	0.20856	1	1
Allen_Mouse_ALM2_level3	Vip_Crispld2_Htr2c	14940	0.0086187	0.02177	0.010795	0.21233	1	1
Allen_Mouse_ALM2_level3	L5_IT_ALM_Npw	14940	0.0084086	0.023635	0.010985	0.222	1	1
Allen_Mouse_ALM2_level3	Pvalb_Akr1c18_Ntf3	14940	0.0075028	0.021191	0.010078	0.2283	1	1
Allen_Mouse_ALM2_level3	L6_CT_VISp_Gpr139	14940	0.0041405	0.012764	0.0057489	0.23569	1	1
Allen_Mouse_ALM2_level3	L5_IT_VISp_Whrn_Tox2	14940	0.0045437	0.013671	0.0065166	0.24283	1	1
Allen_Mouse_ALM2_level3	L5_IT_ALM_Gkn1_Pcdh19	14940	0.0074687	0.021099	0.010976	0.24812	1	1
Allen_Mouse_ALM2_level3	Vip_Igfbp4_Mab21l1	14940	0.00736	0.01882	0.010848	0.24874	1	1
Allen_Mouse_ALM2_level3	Lamp5_Ntn1_Npy2r	14940	0.0093101	0.025162	0.01373	0.24886	1	1
Allen_Mouse_ALM2_level3	Sst_Crhr2_Efemp1	14940	0.00856	0.023852	0.012776	0.25143	1	1
Allen_Mouse_ALM2_level3	PVM_Mrc1	14940	0.0035782	0.0071222	0.0053821	0.25308	1	1
Allen_Mouse_ALM2_level3	Pvalb_Tpbg	14940	0.0071873	0.020039	0.011634	0.26837	1	1
Allen_Mouse_ALM2_level3	L5_IT_ALM_Cpa6_Gpr88	14940	0.0070841	0.02001	0.011699	0.27243	1	1
Allen_Mouse_ALM2_level3	Sst_Esm1	14940	0.0073384	0.020541	0.012155	0.27301	1	1
Allen_Mouse_ALM2_level3	L2.3_IT_ALM_Macc1_Lrg1	14940	0.0064272	0.018157	0.010693	0.2739	1	1
Allen_Mouse_ALM2_level3	Sst_Chodl	14940	0.0062462	0.016961	0.010492	0.27582	1	1
Allen_Mouse_ALM2_level3	Oligo_Rassf10	14940	0.0032395	0.0082779	0.0054695	0.27683	1	1
Allen_Mouse_ALM2_level3	Serpinf1_Clrn1	14940	0.0060779	0.016746	0.011698	0.30169	1	1
Allen_Mouse_ALM2_level3	Vip_Chat_Htr1f	14940	0.0058156	0.014891	0.011857	0.3119	1	1
Allen_Mouse_ALM2_level3	Pvalb_Gpr149_Islr	14940	0.0053455	0.014847	0.010993	0.31339	1	1
Allen_Mouse_ALM2_level3	Vip_Col15a1_Pde1a	14940	0.0050923	0.013333	0.010661	0.31646	1	1
Allen_Mouse_ALM2_level3	Sncg_Vip_Nptx2	14940	0.0052478	0.014394	0.011698	0.32686	1	1
Allen_Mouse_ALM2_level3	Vip_Rspo4_Rxfp1_Chat	14940	0.0050418	0.01279	0.011816	0.3348	1	1
Allen_Mouse_ALM2_level3	Vip_Crispld2_Kcne4	14940	0.004776	0.012554	0.011671	0.3412	1	1
Allen_Mouse_ALM2_level3	L6b_P2ry12	14940	0.0039306	0.011141	0.010022	0.34747	1	1
Allen_Mouse_ALM2_level3	Vip_Lmo1_Fam159b	14940	0.0046963	0.012319	0.011979	0.34752	1	1
Allen_Mouse_ALM2_level3	L4_IT_VISp_Rspo1	14940	0.0023462	0.0065898	0.0064964	0.35899	1	1
Allen_Mouse_ALM2_level3	Lamp5_Krt73	14940	0.0040086	0.011135	0.01148	0.36348	1	1
Allen_Mouse_ALM2_level3	L2.3_IT_VISp_Agmat	14940	0.0030263	0.0083616	0.0089607	0.36779	1	1
Allen_Mouse_ALM2_level3	Vip_Gpc3_Slc18a3	14940	0.0037597	0.0099234	0.011757	0.37457	1	1
Allen_Mouse_ALM2_level3	Peri_Kcnj8	14940	0.0015273	0.0030018	0.0050159	0.38038	1	1
Allen_Mouse_ALM2_level3	Sst_Rxfp1_Prdm8	14940	0.0037348	0.010448	0.012363	0.38129	1	1
Allen_Mouse_ALM2_level3	Meis2_Adamts19	14940	0.0024242	0.0049968	0.008105	0.38243	1	1
Allen_Mouse_ALM2_level3	Sst_Chrna2_Ptgdr	14940	0.0037158	0.010257	0.012514	0.38326	1	1
Allen_Mouse_ALM2_level3	Lamp5_Fam19a1_Pax6	14940	0.0034813	0.0096717	0.011976	0.38564	1	1
Allen_Mouse_ALM2_level3	Pvalb_Reln_Itm2a	14940	0.0023681	0.0068277	0.0083238	0.38802	1	1
Allen_Mouse_ALM2_level3	Sncg_Slc17a8	14940	0.0026729	0.0075143	0.010325	0.39786	1	1
Allen_Mouse_ALM2_level3	Sncg_Gpr50	14940	0.0023131	0.0065353	0.010295	0.41112	1	1
Allen_Mouse_ALM2_level3	Sst_Tac2_Myh4	14940	0.0028207	0.0078802	0.012703	0.41214	1	1
Allen_Mouse_ALM2_level3	Vip_Igfbp6_Car10	14940	0.0026964	0.006999	0.012426	0.4141	1	1
Allen_Mouse_ALM2_level3	Lamp5_Lsp1	14940	0.0023865	0.0065774	0.012127	0.422	1	1
Allen_Mouse_ALM2_level3	Pvalb_Reln_Tac1	14940	0.0023314	0.0063793	0.012113	0.42369	1	1
Allen_Mouse_ALM2_level3	Vip_Ptprt_Pkp2	14940	0.0023767	0.006024	0.012671	0.42561	1	1
Allen_Mouse_ALM2_level3	Sst_Crh_4930553C11Rik	14940	0.0023136	0.0063987	0.012673	0.42757	1	1
Allen_Mouse_ALM2_level3	L5_IT_VISp_Col27a1	14940	0.0017963	0.0051234	0.0098481	0.42764	1	1
Allen_Mouse_ALM2_level3	Pvalb_Vipr2	14940	0.00091513	0.0025157	0.0109	0.46655	1	1
Allen_Mouse_ALM2_level3	Sst_Calb2_Pdlim5	14940	0.00092426	0.0025534	0.013028	0.47172	1	1
Allen_Mouse_ALM2_level3	Pvalb_Gabrg1	14940	0.00077196	0.0020878	0.011054	0.47216	1	1
Allen_Mouse_ALM2_level3	Vip_Igfbp6_Pltp	14940	0.00041581	0.0010579	0.011112	0.48508	1	1
Allen_Mouse_ALM2_level3	L2.3_IT_ALM_Sla	14940	0.00037977	0.0010712	0.01054	0.48563	1	1
Allen_Mouse_ALM2_level3	Sst_Myh8_Etv1	14940	0.00025681	0.00071823	0.011825	0.49134	1	1
Allen_Mouse_ALM2_level3	L2.3_IT_ALM_Ptrf	14940	-0.00082592	-0.0023196	0.010485	0.53139	1	1
Allen_Mouse_ALM2_level3	Sst_Hpse_Cbln4	14940	-0.0016115	-0.0044875	0.011951	0.55363	1	1
Allen_Mouse_ALM2_level3	Vip_Lmo1_Myl1	14940	-0.0016911	-0.0044211	0.012084	0.55565	1	1
Allen_Mouse_ALM2_level3	L6b_ALM_Olfr111_Nxph1	14940	-0.0019034	-0.0053114	0.01158	0.56528	1	1
Allen_Mouse_ALM2_level3	L5_NP_ALM_Trhr_Nefl	14940	-0.0020857	-0.0056918	0.012018	0.56889	1	1
Allen_Mouse_ALM2_level3	Sst_Hpse_Sema3c	14940	-0.0023996	-0.0066558	0.012017	0.57913	1	1
Allen_Mouse_ALM2_level3	L6_CT_VISp_Ctxn3_Sla	14940	-0.0011861	-0.0037326	0.0054359	0.58636	1	1
Allen_Mouse_ALM2_level3	Vip_Lect1_Oxtr	14940	-0.0028411	-0.0073346	0.012429	0.5904	1	1
Allen_Mouse_ALM2_level3	Vip_Arhgap36_Hmcn1	14940	-0.0029516	-0.0077633	0.012669	0.59211	1	1
Allen_Mouse_ALM2_level3	Sst_Nr2f2_Necab1	14940	-0.0028041	-0.0079002	0.011744	0.59435	1	1
Allen_Mouse_ALM2_level3	L6_IT_ALM_Tgfb1	14940	-0.00307	-0.0086537	0.011225	0.60777	1	1
Allen_Mouse_ALM2_level3	L6_NP_ALM_Trh	14940	-0.0033679	-0.0092632	0.011841	0.61196	1	1
Allen_Mouse_ALM2_level3	Sst_Myh8_Fibin	14940	-0.0036419	-0.0099735	0.011583	0.6234	1	1
Allen_Mouse_ALM2_level3	L6b_VISp_Mup5	14940	-0.0020185	-0.006324	0.005398	0.64577	1	1
Allen_Mouse_ALM2_level3	L6b_ALM_Olfr111_Spon1	14940	-0.004485	-0.012592	0.011241	0.65505	1	1
Allen_Mouse_ALM2_level3	Serpinf1_Aqp5_Vip	14940	-0.0052971	-0.014068	0.011823	0.67293	1	1
Allen_Mouse_ALM2_level3	L6_CT_VISp_Nxph2_Wls	14940	-0.0028739	-0.0084619	0.0058024	0.6898	1	1
Allen_Mouse_ALM2_level3	Sst_Tac2_Tacstd2	14940	-0.0069302	-0.019515	0.012473	0.71076	1	1
Allen_Mouse_ALM2_level3	Lamp5_Plch2_Dock5	14940	-0.0070717	-0.019066	0.012691	0.7113	1	1
Allen_Mouse_ALM2_level3	Sst_Chrna2_Glra3	14940	-0.0077782	-0.02106	0.01318	0.72245	1	1
Allen_Mouse_ALM2_level3	CR_Lhx5	14940	-0.0045934	-0.0094816	0.0072565	0.73663	1	1
Allen_Mouse_ALM2_level3	Sst_Rxfp1_Eya1	14940	-0.0080915	-0.022559	0.012027	0.74945	1	1
Allen_Mouse_ALM2_level3	L6_IT_VISp_Col23a1_Adamts2	14940	-0.0055303	-0.01649	0.0073663	0.77359	1	1
Allen_Mouse_ALM2_level3	L6_CT_ALM_Nxph2_Sla	14940	-0.0096655	-0.027124	0.01221	0.7857	1	1
Allen_Mouse_ALM2_level3	Sst_Calb2_Necab1	14940	-0.010843	-0.029544	0.01313	0.79554	1	1
Allen_Mouse_ALM2_level3	Endo_Ctla2a	14940	-0.0052193	-0.0095767	0.0060398	0.80624	1	1
Allen_Mouse_ALM2_level3	Sst_Nts	14940	-0.010423	-0.02886	0.0095439	0.86259	1	1
Allen_Mouse_ALM2_level3	L5_IT_VISp_Col6a1_Fezf2	14940	-0.0077036	-0.02281	0.0069292	0.86687	1	1
Allen_Mouse_ALM2_level3	L6_IT_ALM_Oprk1	14940	-0.013078	-0.036918	0.011283	0.87678	1	1
Allen_Mouse_ALM2_level3	Lamp5_Lhx6	14940	-0.013964	-0.038435	0.011599	0.88567	1	1
Allen_Mouse_ALM2_level3	Pvalb_Calb1_Sst	14940	-0.015255	-0.041986	0.011956	0.899	1	1
Allen_Mouse_ALM2_level3	L5_NP_VISp_Trhr_Cpne7	14940	-0.011076	-0.030486	0.0080939	0.91439	1	1
Allen_Mouse_ALM2_level3	Sst_Mme_Fam114a1	14940	-0.016944	-0.047374	0.012009	0.92085	1	1
Allen_Mouse_ALM2_level3	VLMC_Osr1_Mc5r	14940	-0.0094368	-0.01625	0.0063609	0.93103	1	1
Allen_Mouse_ALM2_level3	Sst_Tac1_Htr1d	14940	-0.020957	-0.057446	0.013438	0.94056	1	1
Allen_Mouse_ALM2_level3	L6b_VISp_Col8a1_Rprm	14940	-0.017674	-0.049457	0.011198	0.94275	1	1
Allen_Mouse_ALM2_level3	SMC_Acta2	14940	-0.010364	-0.019289	0.0060031	0.95785	1	1
