Cell_Type,NGENES,BETA,BETA_STD,SE,P,P.adj.pds,P.adj,cond_state,cond_cell_type,step3,Dataset,Source,TYPE,FULL_NAME
Neuron_Th_Grin2c.4_9,14974,0.046153,0.12658,0.0083186,1.4691e-08,8.66769e-07,8.197578e-05,partial-joint;partial-joint;partial-joint,Neuron_Th_Cyp26b1.4_3;Neuron_Th_Vcan.4_5;Neuron_Th_Aldh1a1.4_8,1,DropViz_SN_level2,step1_2_summary.txt,,
Neuron_Th_Aldh1a1.4_8,14974,0.038068,0.10485,0.0082509,1.9935e-06,0.0001176165,0.01112373,joint-drop,Neuron_Th_Grin2c.4_9,0,DropViz_SN_level2,step1_2_summary.txt,,
Neuron_Th_Cyp26b1.4_3,14974,0.034376,0.096395,0.0078068,5.3678e-06,0.0003167002,0.029952324,joint-drop,Neuron_Th_Grin2c.4_9,0,DropViz_SN_level2,step1_2_summary.txt,,
Neuron_Th_Vcan.4_5,14974,0.033779,0.094006,0.0078349,8.1694e-06,0.0004819946,0.045585252,joint-drop,Neuron_Th_Grin2c.4_9,0,DropViz_SN_level2,step1_2_summary.txt,,
Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1,14974,0.035479,0.098875,0.0080038,4.6868e-06,0.0002437136,0.026152344,single,,1,DropViz_STR_level2,step1_2_summary.txt,,
Neuron,14974,0.035003,0.090914,0.0071884,5.659e-07,5.659e-06,0.003157722,single,,1,DropViz_TH_level1,step1_2_summary.txt,,
HBSER5,15314,0.18594,0.11245,0.030005,2.9561e-10,7.833665e-08,1.6495038e-06,partial-joint;main;partial-joint;partial-joint;partial-joint;main;partial-joint;partial-joint;main;partial-joint;main;partial-joint;partial-joint;partial-joint,HBSER2;HBSER1;HBSER3;HBSER4;MBDOP2;HBGLU2;HBGLU1;HBCHO2;HBCHO1;HBCHO3;HBCHO4;HBINH5;HBINH6;HBINH2,1,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBSER2,15314,0.17955,0.1057,0.030893,3.1505e-09,8.348825e-07,1.757979e-05,joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBSER4,15314,0.1969,0.10251,0.034374,5.1723e-09,1.3706595e-06,2.8861434e-05,joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBGLU1,15314,0.18184,0.10036,0.033572,3.0877e-08,8.182405e-06,0.00017229366,partial-joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBCHO3,15314,0.13625,0.094561,0.025328,3.7895e-08,1.0042175e-05,0.0002114541,joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBCHO2,15314,0.16215,0.094541,0.030606,5.9379e-08,1.5735435e-05,0.00033133482,partial-joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBINH2,15314,0.1567,0.094728,0.031126,2.4232e-07,6.42148e-05,0.0013521456,joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBINH6,15314,0.19741,0.08901,0.039785,3.5286e-07,9.35079e-05,0.0019689588,partial-joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBINH5,15314,0.21116,0.090658,0.043504,6.1146e-07,0.0001620369,0.0034119468,joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBSER3,15314,0.21497,0.1065,0.044441,6.6511e-07,0.00017625415,0.0037113138,joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBCHO1,15314,0.13324,0.070539,0.029336,2.8092e-06,0.000744438,0.015675336,drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBCHO4,15314,0.14875,0.088052,0.032983,3.2672e-06,0.000865808,0.018230976,drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBSER1,15314,0.18611,0.099008,0.041737,4.1447e-06,0.0010983455,0.023127426,drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
MBDOP2,15314,0.24458,0.10099,0.055655,5.5864e-06,0.001480396,0.031172112,partial-joint-drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
HBGLU2,15314,0.22235,0.086574,0.050837,6.1456e-06,0.001628584,0.034292448,drop,HBSER5,0,Linnarsson_MouseBrainAtlas_level5,step1_2_summary.txt,,
Chmn,15314,0.21646,0.11759,0.035855,8.03e-10,3.1317e-08,4.48074e-06,main,Hind,1,Linnarsson_MouseBrainAtlas_level6_rank4,step1_2_summary.txt,,
Hind,15314,0.15745,0.073194,0.035327,4.1879e-06,0.0001633281,0.023368482,drop,Chmn,0,Linnarsson_MouseBrainAtlas_level6_rank4,step1_2_summary.txt,,
Brain_Non.Myeloid.oligodendrocyte_precursor_cell,14058,0.034657,0.067315,0.0069235,2.8178e-07,3.353182e-05,0.0015723324,partial-joint;partial-joint,Brain_Non.Myeloid.neuron;Brain_Non.Myeloid.oligodendrocyte,1,TabulaMuris_FACS_all,step1_2_summary.txt,,
Brain_Non.Myeloid.neuron,14058,0.035822,0.066613,0.0073133,4.8912e-07,5.820528e-05,0.0027292896,partial-joint-drop,Brain_Non.Myeloid.oligodendrocyte_precursor_cell,0,TabulaMuris_FACS_all,step1_2_summary.txt,,
Brain_Non.Myeloid.oligodendrocyte,14058,0.035921,0.062396,0.0074699,7.6735e-07,9.131465e-05,0.004281813,partial-joint-drop,Brain_Non.Myeloid.oligodendrocyte_precursor_cell,0,TabulaMuris_FACS_all,step1_2_summary.txt,,
GABAergic,17668,-0.0042929,-0.009189,0.014465,0.61668,,,,,,Allen_Human_LGN_level1,magma_celltype_Allen_Human_LGN_level1.gsa.out,COVAR,
Glutamatergic,17668,-0.012189,-0.029115,0.012953,0.82663,,,,,,Allen_Human_LGN_level1,magma_celltype_Allen_Human_LGN_level1.gsa.out,COVAR,
Non.Neuronal,17668,0.011003,0.016767,0.011324,0.16562,,,,,,Allen_Human_LGN_level1,magma_celltype_Allen_Human_LGN_level1.gsa.out,COVAR,
Astro_CPAMD8,17668,0.0014612,0.00235,0.0086684,0.43307,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
Astro_LGR6,17668,0.009956,0.017582,0.0079015,0.10384,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
LGN_Exc_BTNL9,17668,-0.0084322,-0.020276,0.010395,0.79137,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
LGN_Exc_PRKCG_BCHE,17668,-0.01051,-0.025057,0.010316,0.84584,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
LGN_Exc_PRKCG_GRB14,17668,-0.00064178,-0.0015183,0.0099408,0.52574,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
LGN_Inh_CTXN3,17668,0.00055636,0.0012408,0.011048,0.47992,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
LGN_Inh_LAMP5,17668,-0.01445,-0.031537,0.0086429,0.95271,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
LGN_Inh_NTRK1,17668,-0.014773,-0.034275,0.010386,0.92255,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
LGN_Inh_TRPC4,17668,0.0055093,0.012168,0.012084,0.32422,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
Micro_C1QB,17668,-0.0042346,-0.0054072,0.0090911,0.67932,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
Oligo_MAG,17668,0.0029076,0.0050439,0.0079341,0.35701,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
OPC_PDGFRA,17668,0.024009,0.039225,0.0095996,0.0061968,,,,,,Allen_Human_LGN_level2,magma_celltype_Allen_Human_LGN_level2.gsa.out,COVAR,
GABAergic,17668,-0.015736,-0.030837,0.020145,0.78263,,,,,,Allen_Human_MTG_level1,magma_celltype_Allen_Human_MTG_level1.gsa.out,COVAR,
Glutamatergic,17668,-0.028654,-0.063425,0.015869,0.96451,,,,,,Allen_Human_MTG_level1,magma_celltype_Allen_Human_MTG_level1.gsa.out,COVAR,
Non.neuronal,17668,0.027372,0.038329,0.013387,0.020452,,,,,,Allen_Human_MTG_level1,magma_celltype_Allen_Human_MTG_level1.gsa.out,COVAR,
Astro_L1.2_FGFR3_GFAP,17668,0.0072862,0.011314,0.0078352,0.17621,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Astro_L1.6_FGFR3_SLC14A1,17668,0.013011,0.022752,0.0072593,0.036552,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Endo_L2.6_NOSTRIN,17668,0.01224,0.01703,0.0076833,0.055577,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L2_LAMP5_LTK,17668,-0.019888,-0.042637,0.012494,0.94427,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L2.3_LINC00507_FREM3,17668,-0.0073143,-0.01688,0.013096,0.71175,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L2.4_LINC00507_GLP2R,17668,-0.023945,-0.052453,0.013211,0.96504,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L3.4_RORB_CARM1P1,17668,0.0090051,0.020992,0.012483,0.23534,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L3.5_RORB_COL22A1,17668,-0.0083358,-0.017472,0.01226,0.75171,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L3.5_RORB_ESR1,17668,-0.0129,-0.027561,0.013486,0.8306,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L3.5_RORB_FILIP1L,17668,0.0071294,0.015846,0.013274,0.2956,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L3.5_RORB_TWIST2,17668,-0.0070821,-0.015103,0.012776,0.71032,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L4.5_FEZF2_SCN4B,17668,-0.0082076,-0.0197,0.01032,0.78678,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L4.5_RORB_DAPK2,17668,-0.0037355,-0.0080785,0.013735,0.60717,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L4.5_RORB_FOLH1B,17668,-0.010613,-0.02496,0.01267,0.79887,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L4.6_FEZF2_IL26,17668,-0.0083446,-0.018521,0.012107,0.75466,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L4.6_RORB_C1R,17668,-0.01508,-0.033368,0.012958,0.87773,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L4.6_RORB_SEMA3E,17668,-0.022675,-0.049667,0.014421,0.94206,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L5.6_FEZF2_ABO,17668,-0.0067327,-0.015488,0.011907,0.71411,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L5.6_FEZF2_EFTUD1P1,17668,-0.012186,-0.028531,0.011785,0.84944,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L5.6_RORB_TTC12,17668,-0.0055649,-0.012967,0.012369,0.67361,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L5.6_SLC17A7_IL15,17668,0.0021124,0.0048024,0.011723,0.4285,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L5.6_THEMIS_C1QL3,17668,-0.0073217,-0.017174,0.012596,0.71947,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L5.6_THEMIS_CRABP1,17668,0.0064732,0.01504,0.01043,0.26742,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L5.6_THEMIS_DCSTAMP,17668,0.017862,0.042468,0.0098707,0.035189,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L5.6_THEMIS_FGF10,17668,0.006775,0.015967,0.010368,0.25674,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L6_FEZF2_OR2T8,17668,-0.015924,-0.038377,0.009767,0.94848,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Exc_L6_FEZF2_SCUBE1,17668,-0.00067436,-0.0015617,0.010519,0.52556,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1_SST_CHRNA4,17668,-0.019252,-0.03843,0.0122,0.9427,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1_SST_NMBR,17668,-0.0010395,-0.0020891,0.013476,0.53074,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.2_GAD1_MC4R,17668,-0.0028532,-0.0055243,0.012751,0.58853,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.2_LAMP5_DBP,17668,-0.016022,-0.033529,0.010335,0.93946,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.2_PAX6_CDH12,17668,-0.0056837,-0.011646,0.012704,0.6727,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.2_PAX6_TNFAIP8L3,17668,0.010091,0.022923,0.0099841,0.15608,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.2_SST_BAGE2,17668,-0.0012786,-0.0024247,0.014257,0.53573,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.2_VIP_LBH,17668,-0.0049503,-0.010599,0.013543,0.64263,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.2_VIP_PCDH20,17668,0.0003533,0.00070123,0.01315,0.48928,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.2_VIP_TSPAN12,17668,-0.0042878,-0.0087055,0.012213,0.63723,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.3_PAX6_SYT6,17668,0.015066,0.033603,0.012173,0.10793,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.3_SST_CALB1,17668,0.021081,0.039476,0.014839,0.077716,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.3_VIP_ADAMTSL1,17668,-0.006292,-0.013006,0.013816,0.6756,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.3_VIP_CCDC184,17668,-0.0089606,-0.018849,0.01312,0.75268,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.3_VIP_CHRM2,17668,-0.0058242,-0.011429,0.014194,0.65921,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.3_VIP_GGH,17668,0.0010854,0.0020822,0.012963,0.46663,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.4_LAMP5_LCP2,17668,-0.0085811,-0.017788,0.012765,0.74928,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.4_VIP_CHRNA6,17668,-0.0099311,-0.020583,0.01164,0.80322,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.4_VIP_OPRM1,17668,0.00029785,0.00058674,0.013098,0.49093,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L1.4_VIP_PENK,17668,-0.0064055,-0.013849,0.010813,0.72319,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.3_VIP_CASC6,17668,-0.0087344,-0.019397,0.012555,0.75669,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.4_PVALB_WFDC2,17668,-0.0086382,-0.018773,0.013421,0.74008,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.4_SST_FRZB,17668,-0.0075111,-0.015539,0.013351,0.71313,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.4_VIP_CBLN1,17668,-0.0069383,-0.013386,0.013253,0.69969,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.4_VIP_SPAG17,17668,0.0053954,0.010779,0.012313,0.33062,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.5_PVALB_SCUBE3,17668,0.00047906,0.0010081,0.01088,0.48244,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.5_VIP_SERPINF1,17668,-0.018307,-0.036042,0.012693,0.92538,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.5_VIP_TYR,17668,-0.017453,-0.03508,0.01276,0.91431,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.6_LAMP5_CA1,17668,0.0011515,0.0024412,0.013103,0.46499,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L2.6_VIP_QPCT,17668,0.0012507,0.0025449,0.011778,0.45772,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L3.5_SST_ADGRG6,17668,0.011036,0.022072,0.01402,0.2156,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L3.6_SST_HPGD,17668,-0.0065713,-0.014271,0.013646,0.68494,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L3.6_SST_NPY,17668,0.010185,0.022618,0.0099209,0.15231,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L3.6_VIP_HS3ST3A1,17668,0.0061599,0.012594,0.01358,0.32506,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L4.5_PVALB_MEPE,17668,0.012933,0.02909,0.012073,0.14204,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L4.5_SST_STK32A,17668,-0.010011,-0.019144,0.013223,0.77548,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L4.6_PVALB_SULF1,17668,-0.0081925,-0.017157,0.014199,0.71802,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L4.6_SST_B3GAT2,17668,0.0015767,0.003134,0.014827,0.45766,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L4.6_SST_GXYLT2,17668,-0.0079312,-0.017114,0.012706,0.73375,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L5.6_GAD1_GLP1R,17668,-0.0039001,-0.0085622,0.011541,0.63229,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L5.6_PVALB_LGR5,17668,0.010594,0.022128,0.012149,0.19162,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L5.6_SST_KLHDC8A,17668,0.010364,0.022463,0.012467,0.20292,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L5.6_SST_MIR548F2,17668,-0.0056274,-0.012395,0.013252,0.66445,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L5.6_SST_NPM1P10,17668,-0.02261,-0.047392,0.014412,0.94164,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Inh_L5.6_SST_TH,17668,-0.0092425,-0.020324,0.011273,0.79384,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Micro_L1.3_TYROBP,17668,0.020708,0.026939,0.008399,0.0068456,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Oligo_L1.6_OPALIN,17668,0.018389,0.027233,0.0080731,0.011374,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
OPC_L1.6_PDGFRA,17668,0.036751,0.058559,0.0098275,9.2463e-05,,,,,,Allen_Human_MTG_level2,magma_celltype_Allen_Human_MTG_level2.gsa.out,COVAR,
Endo,14917,-0.0081531,-0.012539,0.0074892,0.86184,,,,,,Allen_Mouse_ALM_level1,magma_celltype_Allen_Mouse_ALM_level1.gsa.out,COVAR,
Glia,14917,0.0053794,0.0076017,0.010661,0.30693,,,,,,Allen_Mouse_ALM_level1,magma_celltype_Allen_Mouse_ALM_level1.gsa.out,COVAR,
L2_3,14917,0.0074585,0.017347,0.012574,0.27655,,,,,,Allen_Mouse_ALM_level1,magma_celltype_Allen_Mouse_ALM_level1.gsa.out,COVAR,
L4_5,14917,0.0076057,0.015524,0.010454,0.23346,,,,,,Allen_Mouse_ALM_level1,magma_celltype_Allen_Mouse_ALM_level1.gsa.out,COVAR,
L5_Tshz2,14917,-0.0034454,-0.0079141,0.010056,0.63406,,,,,,Allen_Mouse_ALM_level1,magma_celltype_Allen_Mouse_ALM_level1.gsa.out,COVAR,
L5a,14917,0.022122,0.051035,0.014643,0.065435,,,,,,Allen_Mouse_ALM_level1,magma_celltype_Allen_Mouse_ALM_level1.gsa.out,COVAR,
