Trait1,Trait2,Trait1_code,Trait2_code,corr
parkinsons disease,tolterodine l-tartrate,HC206,MED1141162764,0.791816817990524
parkinsons disease,ear/vestibular disorder,HC206,HC435,0.791386131352561
parkinsons disease,Median T2star in hippocampus (left),HC206,INI25034,0.789217837043583
parkinsons disease,meniere's disease,HC206,HC253,0.786131656479854
parkinsons disease,evening primrose oil,HC206,MED1140916682,0.782565392447227
parkinsons disease,gynaecological disorder (not cancer),HC206,HC172,0.780868898783729
parkinsons disease,hodgkins lymphoma/hodgkins disease,HC206,cancer1052,0.77706980373502
parkinsons disease,multiple myeloma,HC206,cancer1050,0.776682544627582
parkinsons disease,esomeprazole,HC206,MED1141177526,0.776627515009057
parkinsons disease,ranitidine,HC206,MED1140879406,0.776510506065179
parkinsons disease,Weighted-mean OD in tract acoustic radiation (left),HC206,INI25677,0.776444662713063
parkinsons disease,dysmenorrhoea/dysmenorrhea,HC206,HC10,0.773975919525517
parkinsons disease,prostate problem (not cancer),HC206,HC342,0.772153858634599
parkinsons disease,heart/cardiac problem,HC206,HC88,0.770529663036823
parkinsons disease,emphysema/chronic bronchitis,HC206,HC106,0.770322456556082
parkinsons disease,flixonase 50micrograms aqueous nasal spray,HC206,MED1140876076,0.767821552724324
parkinsons disease,orlistat,HC206,MED1141168680,0.767550156089481
parkinsons disease,rosacea,HC206,HC150,0.767487382201723
parkinsons disease,breast fibroadenoma,HC206,HC317,0.765253125966807
parkinsons disease,gall bladder disease,HC206,HC8,0.765175276633326
parkinsons disease,hydroxychloroquine,HC206,MED1140884308,0.761458170781679
parkinsons disease,rectal prolapse,HC206,HC355,0.761395980804874
parkinsons disease,creon e/c granules in capsule,HC206,MED1140866026,0.760605872858715
parkinsons disease,Cylindrical power (left),HC206,INI5086,0.758282185571756
parkinsons disease,Volume of accumbens (right),HC206,INI25024,0.757536291619674
parkinsons disease,NHS,HC206,MED1000000011,0.757058322941439
parkinsons disease,diprobase cream,HC206,MED1140878226,0.756992311547671
parkinsons disease,microgynon 30 tablet,HC206,MED1140869180,0.755772223137435
parkinsons disease,fracture nose,HC206,HC284,0.754920842513461
parkinsons disease,small intestine/small bowel cancer,HC206,cancer1019,0.754561434453053
parkinsons disease,Weighted-mean MO in tract middle cerebellar peduncle,HC206,INI25558,0.754528379045454
parkinsons disease,herpes simplex,HC206,HC226,0.754312952445871
parkinsons disease,lung cancer,HC206,cancer1001,0.754267149151646
parkinsons disease,evorel 25 patch,HC206,MED1140916790,0.753650962781051
parkinsons disease,Median T2star in thalamus (right),HC206,INI25027,0.753539418362512
parkinsons disease,rabeprazole sodium,HC206,MED1141168584,0.75267088262342
parkinsons disease,eye/eyelid problem,HC206,HC6,0.751967968699653
parkinsons disease,daktacort cream,HC206,MED1140882910,0.751952337848439
parkinsons disease,gaviscon liquid,HC206,MED1140865354,0.75122759974261
parkinsons disease,calcium carbonate+cholecalciferol 1.25g/200iu tablet,HC206,MED1141146606,0.751200208851512
parkinsons disease,lactulose product,HC206,MED1140865800,0.749602210713636
parkinsons disease,blepharitis/eyelid infection,HC206,HC351,0.749249321201719
parkinsons disease,malaria,HC206,HC47,0.747827010459638
parkinsons disease,"Volume of grey matter in Parahippocampal Gyrus, anterior division (left)",HC206,INI25848,0.747632601572274
parkinsons disease,etoricoxib,HC206,MED1141180140,0.747230047474358
parkinsons disease,mefenamic acid,HC206,MED1140871542,0.746207858754266
parkinsons disease,dovonex 50micrograms/g cream,HC206,MED1140864184,0.745288485214634
parkinsons disease,fybogel orange s/f granules,HC206,MED1141180036,0.745249738630958
parkinsons disease,Age at cancer diagnosis,HC206,INI40008,0.744647448256714
parkinsons disease,Cancer year/age first occurred,HC206,INI84,0.743645715400774
parkinsons disease,Number of depression episodes,HC206,INI4620,0.742366959959145
parkinsons disease,nortriptyline,HC206,MED1140867818,0.741320361454093
parkinsons disease,irbesartan,HC206,MED1141152998,0.740078266878528
parkinsons disease,fexofenadine,HC206,MED1141146428,0.739722821125807
parkinsons disease,Weighted-mean FA in tract middle cerebellar peduncle,HC206,INI25504,0.735554403475732
parkinsons disease,pariet 10mg e/c tablet,HC206,MED1141168590,0.734942770337154
parkinsons disease,Index of best refractometry result (left),HC206,INI5276,0.73420725544649
parkinsons disease,co-dydramol,HC206,MED1140923350,0.73149899061625
parkinsons disease,vitamin c product,HC206,MED1140909726,0.730977093496099
parkinsons disease,zinc product,HC206,MED1140888538,0.728596413832232
parkinsons disease,simvador 10mg tablet,HC206,MED1141188146,0.728571540265181
parkinsons disease,gastric/stomach ulcers,HC206,HC209,0.72825804150123
parkinsons disease,alcohol dependency,HC206,HC375,0.727198059293928
parkinsons disease,neck problem/injury,HC206,HC217,0.72664912772652
parkinsons disease,hypromellose,HC206,MED1140875990,0.72581980340954
parkinsons disease,Ever had eye surgery,HC206,BIN5181,0.72579905510762
parkinsons disease,telfast 30 tablet,HC206,MED1141194386,0.725179235147388
parkinsons disease,citalopram,HC206,MED1140921600,0.724527118586801
parkinsons disease,abdominal hernia,HC206,HC117,0.723494269029181
parkinsons disease,solifenacin,HC206,MED1141200322,0.723415246097563
parkinsons disease,co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10,HC206,MED1189,0.723350972728694
parkinsons disease,Gestational diabetes only,HC206,BIN4041,0.721719245144389
parkinsons disease,olmetec 10mg tablet,HC206,MED1141193346,0.721660692921895
parkinsons disease,pneumonia,HC206,HC36,0.721630626950448
parkinsons disease,dipyridamole,HC206,MED1140861778,0.720934320091108
parkinsons disease,propranolol,HC206,MED1140879842,0.720686212291697
parkinsons disease,monoclonal gammopathy/not myeloma,HC206,HC56,0.719931828266909
parkinsons disease,eumovate cream,HC206,MED1140882800,0.719462604167807
parkinsons disease,Leg pain when standing still or sitting,HC206,BIN5452,0.718826606373638
parkinsons disease,Age pulmonary embolism (blood clot in lung) diagnosed,HC206,INI4022,0.717806881497728
parkinsons disease,Ever manic/hyper for 2 days,HC206,BIN4642,0.716913534212883
parkinsons disease,quetiapine,HC206,MED1141152848,0.716276084196209
parkinsons disease,stress,HC206,HC178,0.715958451000621
parkinsons disease,scarlet fever/scarlatina,HC206,HC397,0.715183336603451
parkinsons disease,fracture lower leg/ankle,HC206,HC339,0.715112671436653
parkinsons disease,Age last used hormone-replacement therapy (HRT),HC206,INI3546,0.713879696815119
parkinsons disease,Head bone area,HC206,INI23305,0.713751533691275
parkinsons disease,zolpidem,HC206,MED1140865016,0.713665091369325
parkinsons disease,nasonex 0.05% aqueous nasal spray,HC206,MED1141150944,0.712056416619859
parkinsons disease,logynon tablet,HC206,MED1140869176,0.711786911039295
parkinsons disease,Back pain for 3+ months,HC206,BIN3571,0.709989602870842
parkinsons disease,crestor 10mg tablet,HC206,MED1141192414,0.709527074808346
parkinsons disease,tibolone,HC206,MED1140868482,0.709327856651818
parkinsons disease,lymphoedema,HC206,HC433,0.708982166570238
parkinsons disease,"Diastolic blood pressure, manual reading",HC206,INI94,0.707765360947398
parkinsons disease,domperidone,HC206,MED1140879430,0.707353524949695
parkinsons disease,sarcoma/fibrosarcoma,HC206,cancer1068,0.706920289015411
parkinsons disease,Weighted-mean FA in tract medial lemniscus (right),HC206,INI25506,0.706804054972685
parkinsons disease,housemaid's knee (prepatellar bursitis),HC206,HC130,0.706358219759212
parkinsons disease,"Volume of brain, grey+white, normalised for head size",HC206,INI25009,0.706213090273715
parkinsons disease,Number of live births,HC206,INI2734,0.705731187043469
parkinsons disease,tongue cancer,HC206,cancer1011,0.705690807653736
parkinsons disease,P duration,HC206,INI12338,0.705097946830851
parkinsons disease,Weighted-mean OD in tract forceps major,HC206,INI25687,0.704924420669096
parkinsons disease,zoton 15mg capsule,HC206,MED1140923688,0.704661493170598
parkinsons disease,multivitamins,HC206,MED1140852976,0.704405098235024
parkinsons disease,Other serious medical condition/disability diagnosed by doctor,HC206,BIN2473,0.704217944692028
parkinsons disease,estradiol product,HC206,MED1141181700,0.703721864937704
parkinsons disease,tiotropium,HC206,MED1141182628,0.703008361935897
parkinsons disease,Mean FA in uncinate fasciculus on FA skeleton (left),HC206,INI25101,0.702688520483103
parkinsons disease,adizem-xl plus m/r capsule,HC206,MED1140926780,0.702649585160391
parkinsons disease,stroke,HC206,HC110,0.701909023276936
parkinsons disease,Rosuvastatin,HC206,MED1000000005,0.701652504274602
parkinsons disease,Leg pain when walking uphill or hurrying,HC206,BIN5474,0.701490629709456
parkinsons disease,solpadol capsule,HC206,MED1141168122,0.70145143188573
parkinsons disease,Weighted-mean ISOVF in tract corticospinal tract (right),HC206,INI25713,0.700727813684356
parkinsons disease,irritable bowel syndrome,HC206,HC64,0.700626479476796
parkinsons disease,90th percentile of BOLD effect (in group-defined amygdala activation mask) for shapes-faces contrast,HC206,INI25767,0.700556021960193
parkinsons disease,tamsulosin,HC206,MED1140926934,0.699754560236933
parkinsons disease,heart arrhythmia,HC206,HC193,0.697797462506733
parkinsons disease,trimethoprim,HC206,MED1140873966,0.697635042659618
parkinsons disease,uterine/endometrial cancer,HC206,cancer1040,0.697520901494383
parkinsons disease,st john's wort/hypericum [ctsu],HC206,MED1201,0.697475676092481
parkinsons disease,ezetrol 10mg tablet,HC206,MED1141192740,0.697132023323171
parkinsons disease,sleep apnoea,HC206,HC364,0.696696755739495
parkinsons disease,salazopyrin 500mg tablet,HC206,MED1140865670,0.694827445570768
parkinsons disease,Hearing aid user,HC206,BIN3393,0.694048093324735
parkinsons disease,rheumatic fever,HC206,HC149,0.693164605106279
parkinsons disease,Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),HC206,INI25555,0.692662392151127
parkinsons disease,benign breast lump,HC206,HC58,0.69179640716927
parkinsons disease,testosterone product,HC206,MED1140868532,0.691433743370604
parkinsons disease,brain cancer/primary malignant brain tumour,HC206,cancer1032,0.69032372797107
parkinsons disease,salmeterol,HC206,MED1140862144,0.690181162704253
parkinsons disease,priadel 200mg m/r tablet,HC206,MED1140867504,0.689891453730462
parkinsons disease,arthritis (nos),HC206,HC78,0.689782465867731
parkinsons disease,mouth cancer,HC206,cancer1077,0.689493251121327
parkinsons disease,chronic fatigue syndrome,HC206,HC72,0.689427858384878
parkinsons disease,folic acid product,HC206,MED1140870422,0.687508199095554
parkinsons disease,maxalt 5mg tablet,HC206,MED1141167940,0.686923745912465
parkinsons disease,beclometasone dipropionate+salbutamol,HC206,MED1141180342,0.686910429905713
parkinsons disease,Femur upper neck BMD (bone mineral density) T-score (left),HC206,INI23296,0.686438605015576
parkinsons disease,Femur upper neck BMD (bone mineral density) (left),HC206,INI23292,0.68500648944524
parkinsons disease,bell's palsy/facial nerve palsy,HC206,HC348,0.684316329900251
parkinsons disease,90th percentile of BOLD effect (in group-defined mask) for shapes-faces contrast,HC206,INI25765,0.68413653144645
parkinsons disease,spinal stenosis,HC206,HC402,0.683869433812683
parkinsons disease,chronic sinusitis,HC206,HC298,0.683865596826738
parkinsons disease,alendronate sodium,HC206,MED1140922174,0.683308902793537
parkinsons disease,Age stroke diagnosed,HC206,INI4056,0.683187094960907
parkinsons disease,elocon cream,HC206,MED1140888092,0.682854587986135
parkinsons disease,Longest period of depression,HC206,INI4609,0.682684353215847
parkinsons disease,selenium product,HC206,MED1140883748,0.681970242646951
parkinsons disease,mirena 20mcg/24hrs intrauterine system,HC206,MED1140921822,0.681730428479434
parkinsons disease,hiv/aids,HC206,HC429,0.681621889176435
parkinsons disease,diclofenac,HC206,MED1140884488,0.681114469860851
parkinsons disease,ankylosing spondylitis,HC206,HC422,0.680506982808743
parkinsons disease,fracture shoulder/scapula,HC206,HC396,0.68008996856166
parkinsons disease,Volume of grey matter in Frontal Operculum Cortex (right),HC206,INI25863,0.679091324516388
parkinsons disease,Posterior thigh lean muscle volume (right),HC206,INI22404,0.678825128734184
parkinsons disease,Volume of grey matter in Pallidum (left),HC206,INI25884,0.678682907389436
Parkinson's disease,anal fissure,FH1262,HC133,0.678344781424586
parkinsons disease,Doctor diagnosed COPD (chronic obstructive pulmonary disease),HC206,BIN22130,0.67794580378929
parkinsons disease,tamoxifen,HC206,MED1140870164,0.677741117066177
parkinsons disease,felodipine,HC206,MED1140888646,0.677708868732469
parkinsons disease,Tinnitus severity/nuisance,HC206,INI4814,0.676724875260355
parkinsons disease,prostatitis,HC206,HC161,0.674434313887884
parkinsons disease,spasmonal 60mg capsule,HC206,MED1140865336,0.673918327646871
parkinsons disease,Median z-statistic (in group-defined mask) for shapes-faces contrast,HC206,INI25050,0.673577343858235
parkinsons disease,tuberculosis (tb),HC206,HC62,0.673416993739391
parkinsons disease,fracture toe,HC206,HC256,0.673208206273489
parkinsons disease,Stomach/abdominal pain for 3+ months,HC206,BIN3741,0.673074698993406
parkinsons disease,peripheral nerve disorder,HC206,HC128,0.671531913486405
parkinsons disease,appendicitis,HC206,HC79,0.670270525901032
parkinsons disease,gtn - glyceryl trinitrate,HC206,MED1140923670,0.669602225113495
parkinsons disease,bone metastases/bony secondaries,HC206,cancer1085,0.669383309806408
parkinsons disease,Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left),HC206,INI25451,0.668620376214406
parkinsons disease,uterine fibroids,HC206,HC31,0.668495247828359
parkinsons disease,Neck/shoulder pain for 3+ months,HC206,BIN3404,0.668016851216373
parkinsons disease,zoladex 3.6mg implant,HC206,MED1140870196,0.667156274785257
parkinsons disease,vitamin c product,HC206,MED1195,0.667045928584979
parkinsons disease,voltarol emulgel,HC206,MED1140877892,0.667030061587702
parkinsons disease,90th percentile of z-statistic (in group-defined mask) for shapes-faces contrast,HC206,INI25766,0.666523866202852
parkinsons disease,liver failure/cirrhosis,HC206,HC251,0.666222746941946
parkinsons disease,Median BOLD effect (in group-defined mask) for shapes-faces contrast,HC206,INI25048,0.665108166867359
parkinsons disease,Median T2star in accumbens (right),HC206,INI25039,0.664623550805417
parkinsons disease,multivitamin+mineral preparations,HC206,MED1140876592,0.664602767121277
parkinsons disease,mitral valve disease,HC206,HC21,0.664575903103013
parkinsons disease,salmeterol+fluticasone propionate,HC206,MED1141164086,0.662184216149596
parkinsons disease,Bowel cancer,HC206,FH1019,0.661933184630403
parkinsons disease,sildenafil,HC206,MED1141168936,0.661429955705609
parkinsons disease,constipation,HC206,HC118,0.661360597594585
parkinsons disease,lichen planus,HC206,HC39,0.661255440424652
parkinsons disease,omega-3/fish oil supplement,HC206,MED1193,0.660281150084792
parkinsons disease,Volume of peripheral cortical grey matter (normalised for head size),HC206,INI25001,0.6599667722517
parkinsons disease,rino clenil 50micrograms nasal spray,HC206,MED1141192916,0.659713232631194
parkinsons disease,prednisolone,HC206,MED1140874930,0.659407788294249
parkinsons disease,Number of pregnancy terminations,HC206,INI3849,0.658750054171034
parkinsons disease,ureteric obstruction/hydronephrosis,HC206,HC195,0.657836848738102
parkinsons disease,schizophrenia,HC206,HC246,0.657049592754834
parkinsons disease,scleroderma/systemic sclerosis,HC206,HC163,0.656194228799523
parkinsons disease,contact dermatitis,HC206,HC115,0.655213231139483
parkinsons disease,Attempted suicide vs all,HC206,BIN1020483,0.653235070003172
parkinsons disease,plantar fascitis,HC206,HC286,0.653157101909452
parkinsons disease,naramig 2.5mg tablet,HC206,MED1141151288,0.653156312892565
parkinsons disease,Weighted-mean MO in tract inferior longitudinal fasciculus (left),HC206,INI25556,0.651842678093451
parkinsons disease,dicloflex 25mg e/c tablet,HC206,MED1140921828,0.651510758075091
parkinsons disease,fybogel mebeverine sachet,HC206,MED1140865350,0.651433218431454
parkinsons disease,Mean FA in uncinate fasciculus on FA skeleton (right),HC206,INI25100,0.650655259974887
parkinsons disease,prochlorperazine,HC206,MED1140868170,0.650135139628636
parkinsons disease,erectile dysfunction/impotence,HC206,HC227,0.649707804125728
parkinsons disease,tildiem 60mg m/r tablet,HC206,MED1140861128,0.649484858072117
parkinsons disease,diverticular disease/diverticulitis,HC206,HC262,0.648634919617499
parkinsons disease,Weighted-mean ISOVF in tract corticospinal tract (left),HC206,INI25712,0.648192476681271
parkinsons disease,Volume of grey matter (normalised for head size),HC206,INI25005,0.647831200211301
parkinsons disease,insomnia,HC206,HC306,0.647663818175063
parkinsons disease,migraleve tablet,HC206,MED1141168554,0.647224231681108
parkinsons disease,low platelets/platelet disorder,HC206,HC428,0.645574727067873
parkinsons disease,polymyalgia rheumatica,HC206,HC96,0.645456144038534
parkinsons disease,alverine,HC206,MED1140879424,0.644742027273599
parkinsons disease,temazepam,HC206,MED1140863202,0.644534034850381
parkinsons disease,nitrazepam,HC206,MED1140863182,0.643861206454983
parkinsons disease,primary bone cancer,HC206,cancer1063,0.643350422725049
parkinsons disease,other neurological problem,HC206,HC353,0.642859156197536
parkinsons disease,acute myeloid leukaemia,HC206,cancer1074,0.642693944241388
parkinsons disease,doxazosin,HC206,MED1140879778,0.641338043277652
parkinsons disease,Volume of white matter (normalised for head size),HC206,INI25007,0.64082577052173
parkinsons disease,subarachnoid haemorrhage,HC206,HC255,0.638272556338052
parkinsons disease,head injury,HC206,HC323,0.638030178660428
parkinsons disease,Length of menstrual cycle,HC206,INI3710,0.63737210473617
parkinsons disease,fracture hand,HC206,HC314,0.635281180501189
parkinsons disease,venlafaxine,HC206,MED1140916282,0.635163028617981
parkinsons disease,Doctor diagnosed sarcoidosis,HC206,BIN22133,0.635114544920207
parkinsons disease,liver/hepatocellular cancer,HC206,cancer1024,0.634329125167882
parkinsons disease,"Mean rfMRI head motion, averaged across space and time points",HC206,INI25741,0.634291424727365
parkinsons disease,kidney stone/ureter stone/bladder stone,HC206,HC374,0.633536327757114
parkinsons disease,hypertrophic cardiomyopathy (hcm/hocm),HC206,HC308,0.632092414200724
parkinsons disease,respiratory mometasone,HC206,MED1141191748,0.631056422486111
parkinsons disease,stomach disorder,HC206,HC98,0.631006127463313
parkinsons disease,eye and/or adnexal cancer,HC206,cancer1030,0.630144384937969
parkinsons disease,ortho-gynest 500micrograms pessary,HC206,MED1140869034,0.629881622390974
parkinsons disease,fracture clavicle/collar bone,HC206,HC363,0.627678178552509
parkinsons disease,lamotrigine,HC206,MED1140872290,0.626935620548839
parkinsons disease,Volume of grey matter in Supracalcarine Cortex (right),HC206,INI25875,0.62614605528037
parkinsons disease,back problem,HC206,HC237,0.625806047906942
parkinsons disease,quinine,HC206,MED1140874420,0.625529283534548
parkinsons disease,chronic obstructive airways disease/copd,HC206,HC442,0.62492466146136
parkinsons disease,peptic ulcer,HC206,HC54,0.624911386935566
parkinsons disease,urinary tract infection/kidney infection,HC206,HC404,0.624442457604767
parkinsons disease,cellulitis,HC206,HC185,0.624346289886212
parkinsons disease,6mm index of best keratometry results (right),HC206,INI5251,0.624023265660867
parkinsons disease,diltiazem,HC206,MED1140879806,0.622440929883808
parkinsons disease,omacor 1g capsule,HC206,MED1141181868,0.622366204406885
parkinsons disease,aortic stenosis,HC206,HC259,0.621566628232949
parkinsons disease,retinal detachment,HC206,HC302,0.619603324038942
parkinsons disease,Chest pain or discomfort walking normally,HC206,BIN3606,0.619415334445039
parkinsons disease,solpadol caplet,HC206,MED1140871688,0.619057650668137
parkinsons disease,letrozole,HC206,MED1141145896,0.619033620566675
parkinsons disease,cimetidine,HC206,MED1140865426,0.618157516354791
parkinsons disease,"Mean tfMRI head motion, averaged across space and time points",HC206,INI25742,0.617991457475273
parkinsons disease,joint disorder,HC206,HC155,0.617802100815556
parkinsons disease,disc degeneration,HC206,HC119,0.617643878703226
parkinsons disease,Fractured/broken bones in last 5 years,HC206,BIN2463,0.617572858143355
parkinsons disease,clomipramine,HC206,MED1140879620,0.617309836071642
parkinsons disease,carbimazole,HC206,MED1140874866,0.617067241571591
parkinsons disease,epaderm ointment,HC206,MED1140927730,0.61643213567861
parkinsons disease,fracture skull/head,HC206,HC424,0.615544112729954
parkinsons disease,clonidine,HC206,MED1140883468,0.615441432736612
parkinsons disease,undescended testicle,HC206,HC124,0.615321314875313
parkinsons disease,thyroid goitre,HC206,HC103,0.614869036003942
parkinsons disease,parathyroid gland problem (not cancer),HC206,HC208,0.614628878939752
parkinsons disease,Ever had hysterectomy (womb removed),HC206,BIN3591,0.61345312713344
parkinsons disease,oesophageal cancer,HC206,cancer1017,0.612014133157878
parkinsons disease,endometriosis,HC206,HC205,0.61141462942896
parkinsons disease,chlorphenamine,HC206,MED1140909790,0.611243412372081
parkinsons disease,sumatriptan,HC206,MED1140884412,0.609984711703056
parkinsons disease,Cascot confidence score,HC206,INI20121,0.609659815322592
parkinsons disease,menopausal symptoms/menopause,HC206,HC277,0.608795481533396
parkinsons disease,myositis/myopathy,HC206,HC5,0.608321525356449
parkinsons disease,Weighted-mean MO in tract acoustic radiation (right),HC206,INI25543,0.60798785979421
parkinsons disease,Mean FA in pontine crossing tract on FA skeleton,HC206,INI25057,0.607438884221745
parkinsons disease,vertigo,HC206,HC102,0.607412685323101
parkinsons disease,zopiclone,HC206,MED1140863144,0.606137307757776
parkinsons disease,6mm regularity index (right),HC206,INI5161,0.605519319627973
parkinsons disease,enlarged prostate,HC206,HC85,0.605407617816383
parkinsons disease,fracture tibia,HC206,HC200,0.605180991838354
parkinsons disease,polio/poliomyelitis,HC206,HC408,0.603144877506728
parkinsons disease,verapamil,HC206,MED1140888510,0.602666174461212
parkinsons disease,loperamide,HC206,MED1140879464,0.602525733823765
parkinsons disease,sjogren's syndrome/sicca syndrome,HC206,HC321,0.600073385188401
parkinsons disease,allergy or anaphylactic reaction to drug,HC206,HC77,0.59984920879362
parkinsons disease,meloxicam,HC206,MED1140926732,0.598111925050833
parkinsons disease,lithium product,HC206,MED1140867490,0.598102313829731
parkinsons disease,calcichew 1.25g chewable tablet,HC206,MED1140870856,0.597200950143261
Parkinson's disease,pulmonary fibrosis,FH1262,HC84,0.595876902109908
parkinsons disease,betnovate cream,HC206,MED1140882694,0.5953386449227
parkinsons disease,adrenocortical insufficiency/addison's disease,HC206,HC359,0.595226366803854
parkinsons disease,tranexamic acid,HC206,MED1140861832,0.594611190815644
parkinsons disease,osteopenia,HC206,HC182,0.592652284969003
parkinsons disease,rosuvastatin,HC206,MED1141192410,0.592438353137318
parkinsons disease,"Volume of grey matter in Superior Temporal Gyrus, anterior division (right)",HC206,INI25799,0.591328228765192
parkinsons disease,Maximum carotid IMT (intima-medial thickness) at 150 degrees,HC206,INI22675,0.588988263149642
parkinsons disease,loratadine,HC206,MED1140862772,0.588904908283255
parkinsons disease,indometacin,HC206,MED1140909936,0.588563493889033
parkinsons disease,amitriptyline,HC206,MED1140879616,0.588229053491665
parkinsons disease,"Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (right)",HC206,INI25793,0.587585868978863
Parkinson's disease,Mean ISOVF in fornix cres+stria terminalis on FA skeleton (right),FH1262,INI25478,0.587049219235086
parkinsons disease,pravastatin,HC206,MED1140888648,0.586921125759723
parkinsons disease,phenytoin,HC206,MED2038460076,0.586591394152029
parkinsons disease,ispaghula husk,HC206,MED1140865752,0.584167292989136
parkinsons disease,prempak 0.625 tablet,HC206,MED1140857636,0.583883438017201
parkinsons disease,dihydrocodeine,HC206,MED1140884464,0.583061918361618
parkinsons disease,Headaches for 3+ months,HC206,BIN3799,0.580917421292173
parkinsons disease,Minimum carotid IMT (intima-medial thickness) at 150 degrees,HC206,INI22673,0.580804512214229
parkinsons disease,aciclovir,HC206,MED1140874370,0.578487311749394
parkinsons disease,elleste duet conti tablet,HC206,MED1141156644,0.577489240954213
parkinsons disease,Weighted-mean MO in tract anterior thalamic radiation (right),HC206,INI25545,0.577458413232322
parkinsons disease,Weighted-mean MO in tract corticospinal tract (right),HC206,INI25551,0.575958923652298
parkinsons disease,syndol tablet,HC206,MED1140856342,0.575483776912009
parkinsons disease,transient ischaemic attack (tia),HC206,HC400,0.572772129885848
parkinsons disease,nitrofurantoin,HC206,MED1140874126,0.572491446808238
parkinsons disease,90th percentile of z-statistic (in group-defined amygdala activation mask) for shapes- faces contrast,HC206,INI25768,0.572313869585905
parkinsons disease,mesothelioma,HC206,cancer1064,0.572289085016504
parkinsons disease,vitamin d product,HC206,MED1140870954,0.571934993889737
parkinsons disease,asacol 400mg e/c tablet,HC206,MED1140865580,0.571346765940763
parkinsons disease,Volume of grey matter in Planum Temporale (right),HC206,INI25873,0.570377222665829
parkinsons disease,helicobacter pylori,HC206,HC386,0.570368601381635
parkinsons disease,Weighted-mean OD in tract posterior thalamic radiation (left),HC206,INI25696,0.570329782584902
parkinsons disease,ferrous sulphate,HC206,MED1140870390,0.570106464300545
parkinsons disease,cozaar 25mg tablet,HC206,MED1141179974,0.569678978541094
parkinsons disease,bronchiectasis,HC206,HC28,0.569276512187796
parkinsons disease,"Volume of grey matter in Inferior Temporal Gyrus, anterior division (right)",HC206,INI25809,0.569175063811726
parkinsons disease,Lifetime number of same-sex sexual partners,HC206,INI3669,0.567861531216056
parkinsons disease,Mean ISOVF in fornix on FA skeleton,HC206,INI25445,0.567556989168927
Parkinson's disease,Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left),FH1262,INI25479,0.567507825277689
parkinsons disease,6mm index of best keratometry results (left),HC206,INI5306,0.565993035986387
parkinsons disease,calcipotriol,HC206,MED1140880086,0.565958012858329
parkinsons disease,scoliosis,HC206,HC0,0.565908177297614
parkinsons disease,mometasone,HC206,MED1140888172,0.565139675158547
parkinsons disease,seroxat 20mg tablet,HC206,MED1140882236,0.564926667191227
parkinsons disease,Median BOLD effect (in group-defined amygdala activation mask) for shapes-faces contrast,HC206,INI25052,0.564093927425336
parkinsons disease,azathioprine,HC206,MED1140869930,0.563984830855032
