qtl_id,Locus.GWAS,Study_id,Sample,eGene,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,Study,Tissue,Tissue_group,System
Alasoo_2018.macrophage_naive,BIN3,GWAS,macrophage_naive,C8orf58,7.32049406101212e-06,0.000207100488542037,0.00337184936196701,0.0944894036818761,0.901924325973553,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_naive,BIN3,GWAS,macrophage_naive,RP11-582J16.5,7.28754562626358e-05,0.000221788974320875,0.0335667317880796,0.101292057799866,0.86484654598147,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_naive,CHRNB1,GWAS,macrophage_naive,CHRNB1,6.52034980159356e-06,8.34997677942639e-05,0.0013169697521287,0.0158824380535292,0.982710572076746,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_naive,GPNMB,GWAS,macrophage_naive,NUPL2,2.58172082455005e-24,6.48334912091154e-22,0.0001952701717114,0.0480855230878831,0.951719206740409,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_naive,IP6K2,GWAS,macrophage_naive,WDR6,6.71676222691294e-11,6.11665640846741e-06,1.46029457928575e-06,0.132114650041561,0.867877772940284,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_naive,IP6K2,GWAS,macrophage_naive,NCKIPSD,1.34946626326088e-06,5.07821606754397e-06,0.0293386582777346,0.109544054443429,0.861110859596506,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_naive,NUCKS1,GWAS,macrophage_naive,RAB7L1,1.6465705049042e-24,9.1949267817249e-25,0.114930646762094,0.0633588927269139,0.821710460510991,Alasoo_2018,macrophage,macrophage,Blood
BLUEPRINT.T-cell,ATG14,GWAS,T-cell,FBXO34,2.50714460062752e-12,5.40307376873473e-12,0.0472922503298099,0.101066499872775,0.851641249789503,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,BIN3,GWAS,T-cell,BIN3,2.23054118295833e-07,0.000153041408405251,8.70881254540272e-05,0.0588117680834438,0.940947879328579,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,BIN3,GWAS,T-cell,C8orf58,3.15925445769134e-05,0.000201139902459657,0.0123348338356036,0.0776222393057242,0.909810194411636,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,BIN3,GWAS,T-cell,RP11-582J16.5,2.65405390546252e-05,0.000212962123500079,0.0103623542683986,0.0822407004406007,0.907157442628445,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,CD19,GWAS,T-cell,SPNS1,1.17121056034057e-05,1.82147924790198e-05,0.057515059566371,0.0885941777915093,0.853860835744037,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,GPNMB,GWAS,T-cell,AC005082.12,1.74889460958595e-33,3.73827907227399e-22,1.24684086790764e-13,0.0256770206602783,0.974322979339596,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,HIP1R,GWAS,T-cell,HIP1R,9.53412502934314e-33,5.51602598071803e-33,0.0307653807578838,0.0168471105096886,0.952387508732424,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,HLA-DRB5,GWAS,T-cell,HCG27,3.09139445299975e-06,1.43860914607549e-06,0.068250324664923,0.0308600379253389,0.900885107406139,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,HLA-DRB5,GWAS,T-cell,HLA-B,1.95462430085557e-09,2.83650910154945e-07,4.31533169684015e-05,0.00526762839803929,0.994688932679457,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,IP6K2,GWAS,T-cell,WDR6,2.58306605393385e-07,6.15628811429411e-06,0.00519872663103608,0.123030831957402,0.871764026816841,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,IP6K2,GWAS,T-cell,NCKIPSD,1.55469059747411e-15,8.2012758196823e-07,3.12897597958789e-11,0.015521439954253,0.984477739886874,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,KPNA1,GWAS,T-cell,KPNA1,1.41679083053286e-08,1.43936359569259e-07,0.00916953569165468,0.092257704101125,0.898572602102951,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,LOC100131289,GWAS,T-cell,HIST1H4J,5.70971820354358e-09,1.20644914530112e-07,0.00490996186341437,0.102854027633744,0.892235884148208,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,MAP4K4,GWAS,T-cell,MAP4K4,3.26257600423432e-10,6.02894230926641e-09,0.00257262870706564,0.0465889891651997,0.950838375772535,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,NOD2,GWAS,T-cell,RP11-327F22.2,1.42512991250709e-09,6.19335963765566e-05,2.97291640962034e-06,0.128326019409342,0.87160907265274,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,NUCKS1,GWAS,T-cell,RAB7L1,1.47763810368385e-27,1.82974225758453e-25,0.000103138385484123,0.0117833941045309,0.988113467509988,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,SPPL2B,GWAS,T-cell,LSM7,5.43222384348403e-12,0.000678616232265574,4.58416516481669e-10,0.0563243207406699,0.942997062563216,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.T-cell,STK39,GWAS,T-cell,STK39,3.58025863570924e-40,3.45535590551882e-34,1.11431007130881e-07,0.106650218469729,0.89334967009926,BLUEPRINT,CD4+ T cell,T-cell,Blood
BLUEPRINT.monocyte,BIN3,GWAS,monocyte,C8orf58,1.02082522073575e-09,0.00013429776251973,3.9856649504291e-07,0.0514862467863694,0.948379055863792,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,BIN3,GWAS,monocyte,RP11-582J16.5,5.01473187686219e-05,0.000401939666821588,0.0195792978772642,0.156107689127518,0.823860926009627,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,CHRNB1,GWAS,monocyte,CHRNB1,1.2858263406366e-16,3.17461556376579e-05,1.60076021808073e-14,0.00295515224263931,0.997013101601709,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,CTSB,GWAS,monocyte,CTSB,1.55028579101466e-26,5.81020270073163e-12,1.34921635896301e-16,0.0496159087700907,0.950384091224098,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,GPNMB,GWAS,monocyte,GPNMB,3.52757991509218e-29,4.09101950046196e-22,2.51492044108273e-09,0.0281943332020875,0.971805664282997,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,GPNMB,GWAS,monocyte,NUPL2,5.85869892018131e-36,4.51854515964367e-22,4.17684702463452e-16,0.031245346400001,0.968754653600001,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,GPNMB,GWAS,monocyte,AC005082.12,7.7764619819073e-29,4.24984441480051e-22,5.54407941657937e-09,0.0293277784143071,0.970672216041611,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,HLA-DRB5,GWAS,monocyte,MICB,1.48463254762627e-07,9.63861401727485e-07,0.00571735981416948,0.036160440360426,0.958121087500749,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,HLA-DRB5,GWAS,monocyte,HLA-C,1.91195723470999e-09,5.29606864997759e-06,4.2211328425293e-05,0.116040299861964,0.883912190829004,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,HLA-DRB5,GWAS,monocyte,HLA-B,8.12812922310617e-08,1.02784094025395e-06,0.00179449184465422,0.0217157217226439,0.97648867731047,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,IP6K2,GWAS,monocyte,DALRD3,1.71235265836401e-07,5.897286131715e-06,0.00344631263868908,0.117811135199175,0.878736483640738,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,IP6K2,GWAS,monocyte,WDR6,2.59869517565373e-35,6.16160754648333e-06,5.23018209117855e-31,0.123132794819128,0.876861043573324,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,IP6K2,GWAS,monocyte,NCKIPSD,3.41634078526144e-22,8.61759248413213e-07,6.87573995271913e-18,0.0163601591557562,0.983638979084996,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,NOD2,GWAS,monocyte,RP11-327F22.2,2.30799574286836e-15,6.32985140309186e-05,4.81463363942485e-12,0.131176177566012,0.868760523915138,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,RPS6KL1,GWAS,monocyte,FCF1,9.87740576632558e-06,3.36959849561921e-05,0.0433788852962323,0.14717421716672,0.809403324146325,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.monocyte,SPPL2B,GWAS,monocyte,LSM7,3.72790545899566e-09,0.000565806473904443,3.14591865785438e-07,0.046794847129212,0.952639028077111,BLUEPRINT,monocyte,monocyte,Blood
BLUEPRINT.neutrophil,BST1,GWAS,neutrophil,BST1,3.57294078573912e-27,6.05892843269384e-23,7.52627991417864e-06,0.126756058608304,0.873236415111781,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,GALC,GWAS,neutrophil,GALC,2.93555761800332e-27,1.71036151010506e-07,2.23238803047362e-22,0.012018714920553,0.987981114043295,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,GALC,GWAS,neutrophil,GPR65,1.58527121320248e-23,1.71512896942945e-07,1.20554284556145e-18,0.0120550060688294,0.987944822418271,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,GALC,GWAS,neutrophil,LINC01146,5.75763220191149e-21,1.49821162280764e-07,4.37847621945182e-16,0.0104037749010617,0.989596075277776,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,GPNMB,GWAS,neutrophil,KLHL7,1.21987290170825e-27,7.52156125932354e-22,8.69684987972501e-08,0.0526762046459946,0.947323708385505,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,GPNMB,GWAS,neutrophil,NUPL2,1.00039473415359e-21,1.52911546052475e-21,0.0713212238030513,0.108194869991137,0.820483906205816,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,GPNMB,GWAS,neutrophil,AC005082.12,5.01461164509587e-32,4.3975971462282e-22,3.57507119155188e-12,0.0303822075975225,0.969617792398898,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,HLA-DRB5,GWAS,neutrophil,MICA,4.54693306663409e-06,6.21596204909896e-07,0.100385151295923,0.0128365494166403,0.886773130758166,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,HLA-DRB5,GWAS,neutrophil,HCG27,4.08309942262514e-06,2.09449191007555e-06,0.0901447115436575,0.0453767158596993,0.86447239500531,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,HLA-DRB5,GWAS,neutrophil,HLA-B,1.28324255583755e-08,1.34132596925033e-06,0.000283308524994602,0.0286421187814165,0.971073218535194,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,HLA-DRB5,GWAS,neutrophil,XXbac-BPG299F13.17,6.14850520135629e-07,4.11855797087185e-06,0.0135743750134939,0.0900311586394636,0.896389732938552,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,IP6K2,GWAS,neutrophil,PRKAR2A,1.25678979726526e-06,6.73217908114046e-06,0.0252944182301238,0.134653220809661,0.840044371991338,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,IP6K2,GWAS,neutrophil,WDR6,1.7052400134793e-22,6.40085051053925e-06,3.43199766683559e-18,0.127952663177744,0.872040935971744,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,IP6K2,GWAS,neutrophil,NCKIPSD,1.47450453575527e-07,3.01510535462592e-06,0.0029675932186555,0.059744836175164,0.937284408050371,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,IP6K2,GWAS,neutrophil,SCAP,0.000754637503885801,7.41525539010833e-05,0.136125410983828,0.0125255004045107,0.850520298553874,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,SP1,GWAS,neutrophil,TARBP2,5.73404293780174e-08,0.0348038585163666,1.06580207889162e-07,0.0637894672109633,0.901406510352033,BLUEPRINT,neutrophil,neutrophil,Blood
BLUEPRINT.neutrophil,SP1,GWAS,neutrophil,MAP3K12,6.04213862517494e-09,0.0399418878056132,1.12306865810314e-08,0.0733543640809019,0.88670373084066,BLUEPRINT,neutrophil,neutrophil,Blood
BrainSeq.brain,BIN3,GWAS,brain,BIN3,3.95047380973144e-15,0.000101512666276619,1.81964107363005e-12,0.0458039973104135,0.954094490021489,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,BIN3,GWAS,brain,C8orf58,0.000125750890894597,0.000183772430739919,0.0579225422413157,0.0837900616488112,0.857977872788239,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,C5orf24,GWAS,brain,CAMLG,5.73354052674574e-24,1.91925827967174e-05,7.96634654877138e-21,0.02569243963587,0.974288367781335,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,CAB39L,GWAS,brain,CAB39L,2.31237152552879e-09,6.30501926762692e-05,6.56535556619668e-07,0.016918384565783,0.983017906393612,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,CD19,GWAS,brain,EIF3C,6.92559834986143e-08,5.38582495392497e-06,0.000319082445654323,0.0238382237470489,0.975837238726361,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,CHRNB1,GWAS,brain,CHRNB1,2.33151299518822e-08,4.84078858237308e-05,4.71139697354252e-06,0.00879085109535672,0.991156006306715,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,GPNMB,GWAS,brain,GPNMB,1.609662095667e-30,3.62209999959061e-22,1.21746110971785e-10,0.0264220219861073,0.973577977892145,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,GPNMB,GWAS,brain,NUPL2,8.41561940398774e-48,6.61190954546842e-22,6.36511809908552e-28,0.0490579558123802,0.950942044187626,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,GPNMB,GWAS,brain,AC005082.12,1.61986718586637e-25,3.61769645795406e-22,1.22517968647525e-05,0.0263886949100124,0.973599053293124,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,HLA-DRB5,GWAS,brain,HLA-C,1.06479503060028e-12,2.83256840460752e-06,2.3508122540061e-08,0.0615979230242196,0.93839922089819,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,HLA-DRB5,GWAS,brain,HCG22,5.72538501492745e-06,1.34645995885671e-06,0.126390779153386,0.0288790636739968,0.844723085327644,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,HLA-DRB5,GWAS,brain,HLA-B,1.03182400684758e-06,8.3463670297501e-07,0.0227802043948458,0.0174670297948696,0.959750899349574,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,IP6K2,GWAS,brain,WDR6,4.07531637107587e-14,6.911964141181e-06,8.86015317395878e-10,0.149422575048882,0.850570512100921,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,IP6K2,GWAS,brain,P4HTM,7.22570204153123e-12,6.55134645450114e-06,1.57094132441014e-07,0.141574535394865,0.858418756157322,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,IP6K2,GWAS,brain,NCKIPSD,2.92761348846746e-21,1.64529044979459e-06,6.36489379615722e-17,0.0348048937381291,0.965193460971419,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,KCNIP3,GWAS,brain,PROM2,1.76763532154965e-05,4.35165055404954e-05,0.0112511145753963,0.0267365896417669,0.961951102924081,BrainSeq,brain (DLPFC),brain (DLPFC),Other
BrainSeq.brain,NUCKS1,GWAS,brain,RAB7L1,2.51125233241035e-25,1.03110353724191e-24,0.0175285451723508,0.0710596310565281,0.911411823771122,BrainSeq,brain (DLPFC),brain (DLPFC),Other
Fairfax_2014.monocyte_IFN24,ATG14,GWAS,monocyte_IFN24,SAMD4A,5.37534215804895e-14,3.45269847427315e-12,0.00106205947138632,0.0672867246311581,0.931651215893948,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,BST1,GWAS,monocyte_IFN24,BST1,5.19721204271792e-26,3.3205192838099e-24,0.000116749798079661,0.00646577319518475,0.993417477006738,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,C5orf24,GWAS,monocyte_IFN24,CAMLG,2.31451270483541e-07,2.46659862844372e-05,0.000321587390121384,0.033305531956826,0.966347983215498,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,CD19,GWAS,monocyte_IFN24,SPNS1,1.10959510346555e-30,3.02717922395535e-06,1.02249492753908e-26,0.0269224649693748,0.973074507851408,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,CHRNB1,GWAS,monocyte_IFN24,CHRNB1,4.6212177570849e-21,0.000829018321181966,9.33936647029423e-19,0.166710085659728,0.832460896019089,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,CTSB,GWAS,monocyte_IFN24,CTSB,1.66742875887885e-21,4.15414136236765e-12,3.71911435348086e-11,0.0917477408974807,0.908252259061172,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,GPNMB,GWAS,monocyte_IFN24,AC005082.12,3.01384386141476e-34,4.64803613868626e-22,2.27954085017064e-14,0.0341899204041694,0.96581007959581,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,HLA-DRB5,GWAS,monocyte_IFN24,HLA-C,4.67667094362233e-14,2.79710080222448e-06,2.06499690085309e-09,0.12262938640449,0.877367814429664,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,HLA-DRB5,GWAS,monocyte_IFN24,VARS2,7.91655963398184e-09,4.47383070680654e-06,0.000341076906486756,0.191942726375966,0.807711714970281,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,IP6K2,GWAS,monocyte_IFN24,WDR6,1.63421531288117e-74,6.58039954943283e-06,3.55295555163654e-70,0.142207003926573,0.857786415673868,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,IP6K2,GWAS,monocyte_IFN24,PRKAR2A,2.21010817291629e-06,6.89016434641451e-06,0.0480501764144379,0.148996788234967,0.802943935078076,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,IP6K2,GWAS,monocyte_IFN24,NCKIPSD,1.90612678792034e-11,9.92405783984272e-07,8.28819774996129e-07,0.0421938655441813,0.957804313211198,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,NUCKS1,GWAS,monocyte_IFN24,RAB7L1,6.77627776357029e-38,2.45209175988974e-24,4.72984292921025e-15,0.17032636921387,0.829673630786127,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_IFN24,TRIM40,GWAS,monocyte_IFN24,HLA-G,7.17983313607059e-29,0.147296810029924,6.72656439776482e-30,0.0129600410448601,0.839743148925219,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS2,BST1,GWAS,monocyte_LPS2,BST1,3.69508975114828e-25,4.47540594986764e-24,0.000830062307996929,0.00906341326034737,0.990106524431656,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS2,C5orf24,GWAS,monocyte_LPS2,CAMLG,6.33827440765782e-07,3.1421951832744e-05,0.000880664478692843,0.0427024962470612,0.956384783494973,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS2,CD19,GWAS,monocyte_LPS2,SPNS1,1.80170618176399e-28,3.49351023780901e-06,1.66027718220431e-24,0.0312240200584255,0.968772486431333,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS2,CD19,GWAS,monocyte_LPS2,EIF3CL,1.81626907601903e-05,2.0083835934425e-05,0.0836820828222128,0.0917089224573406,0.824570748193752,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS2,IP6K2,GWAS,monocyte_LPS2,WDR6,6.09231408989088e-39,7.27516176617966e-06,1.32453300057147e-34,0.157326983781617,0.842665741056617,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS2,IP6K2,GWAS,monocyte_LPS2,NCKIPSD,1.14846325978566e-14,1.14393532255406e-06,4.99373422831499e-10,0.0487892494511737,0.951209606114117,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS2,NUCKS1,GWAS,monocyte_LPS2,NUCKS1,9.30287976288635e-29,4.37156690082871e-25,1.94802345489735e-05,0.0906312819917218,0.909349237773731,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS2,TRIM40,GWAS,monocyte_LPS2,HLA-G,9.61470335879548e-16,0.147801254449015,9.0077192718352e-17,0.0130078531444112,0.839190892406574,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,BIN3,GWAS,monocyte_LPS24,BIN3,0.000169075081393793,0.000167343914221088,0.0778807854056825,0.0762378156487204,0.845544979949981,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,BIN3,GWAS,monocyte_LPS24,C8orf58,4.24210550477352e-07,0.000130098872438696,0.000195403430098636,0.058986548839181,0.940687524647732,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,BST1,GWAS,monocyte_LPS24,BST1,2.0801764334465e-26,2.94785431634259e-24,4.67289340090006e-05,0.00562771320778109,0.994325557858212,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,C5orf24,GWAS,monocyte_LPS24,CAMLG,2.13557456401508e-06,2.75738942568169e-05,0.00296725017054645,0.0373525882375639,0.959650452123069,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,CD19,GWAS,monocyte_LPS24,SPNS1,5.69719279305814e-35,2.90582232128197e-06,5.24997876605624e-31,0.0258030382386239,0.97419405593906,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,CHRNB1,GWAS,monocyte_LPS24,CHRNB1,1.2440006073463e-11,3.39605010601352e-05,2.51409437338537e-09,0.00586923623370134,0.994096800738706,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,CHRNB1,GWAS,monocyte_LPS24,POLR2A,0.000182195752384678,0.000257566670508839,0.0368210459365047,0.0511416148740639,0.911597576766538,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,CHRNB1,GWAS,monocyte_LPS24,SOX15,0.000157900952198624,0.000361570045078914,0.0319102443084045,0.0721743881193917,0.895395896574927,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,CTSB,GWAS,monocyte_LPS24,CTSB,4.89890976646685e-16,5.77894227228005e-12,1.09267670548785e-05,0.128024379682962,0.871964693544205,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,GPNMB,GWAS,monocyte_LPS24,AC005082.12,8.8133555311567e-39,3.32930450454727e-22,6.66604007512129e-19,0.0242056216795441,0.975794378320452,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,IP6K2,GWAS,monocyte_LPS24,WDR6,9.09599823575314e-43,8.12940712519607e-06,1.97756545142258e-38,0.175917766149503,0.824074104443378,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,IP6K2,GWAS,monocyte_LPS24,NCKIPSD,5.42609340737465e-14,9.63802337802535e-07,2.35936745945159e-09,0.0409488880785273,0.959050145759714,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,NUCKS1,GWAS,monocyte_LPS24,NUCKS1,8.90545042765079e-37,5.61733450409496e-26,1.86480173362005e-13,0.0107734745379625,0.989226525461855,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,SETD1A,GWAS,monocyte_LPS24,STX1B,3.387206043096e-17,3.01972325690777e-16,0.0172980921582285,0.153384658888713,0.829317248953055,Fairfax_2014,monocyte,monocyte,Blood
Fairfax_2014.monocyte_LPS24,SYT17,GWAS,monocyte_LPS24,COQ7,3.32406127445487e-06,1.87893526328778e-06,0.114040797188367,0.0636395764982977,0.822314423316798,Fairfax_2014,monocyte,monocyte,Blood
