Sheet,Cell_Type,Sig,Count,Reference,Source,Dataset
Bryois2020,spinal_cord_inhibitory_neurons,0.1047897521,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,cerebellum_neurons,0.10678,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,hippocampus_neurogenesis,0.106861584,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,pyramidal_neurons_ss_1,0.11235,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 8,Habib et al. (2017)
Bryois2020,microglia,0.1228388379,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 8,Habib et al. (2017)
Bryois2020,posterior_cortex_microglia,0.1244010923,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,cerebellum_microglia,0.1265476416,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,striatum_macrophages,0.1273554426,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,subventricular_zone_radial_glia_like_cells,0.1275786491,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,oligodendrocyte_precursor_cells,0.1289307232,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,opc,0.133406154,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,hippocampus_neurogenesis,0.13693,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,frontal_cortex_microglia,0.1383851775,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,oligodendrocytes,0.13955,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,globus_pallidus_externus_&_nucleus_basalis_olig...,0.1399108867,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,posterior_cortex_endothelial_stalk,0.15483,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,ex6b,0.1558953348,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,pyramidal_neurons_ca1,0.1563509663,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,microglia,0.15684,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 8,Habib et al. (2017)
Bryois2020,thalamus_oligodendrocytes,0.160808358,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,choroid_epithelial_cells,0.1614809532,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,peripheral_sensory_peptidergic_neurons,0.1664650098,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,serotonergic_neurons,0.1671171524,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,entopdeduncular_&_subthalamic_nuclei_oligodendr...,0.16879,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,striatum_neurons,0.1698831191,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,striatum_polydendrocytes,0.17138,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,ex4,0.1714718994,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,oligodendrocytes,0.1715997023,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,sympathetic_noradrenergic_neurons,0.1722734494,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,mic,0.1724930318,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,substantia_nigra_&_ventral_tegmental_area_neurons,0.17261,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,posterior_cortex_microglia,0.17295,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,oligodendrocyte_precursors,0.17361,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,peripheral_sensory_neurofilament_neurons,0.17371,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,opc,0.17411,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,thalamus_endothelial_stalk,0.17644,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,striatum_neurons,0.18145,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,oligodendrocyte_precursors_1,0.182899185,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 8,Habib et al. (2017)
Bryois2020,oligodendrocyte_precursors_2,0.18308,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 8,Habib et al. (2017)
Bryois2020,ex8,0.1841406424,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,striatum_endothelial_tip,0.1897915618,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,dentate_gyrus_granule_neurons,0.19145785,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,thalamus_oligodendrocytes,0.19524,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,striatum_astrocytes,0.19971,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,spinal_cord_inhibitory_neurons,0.19974,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,oxytocin_vasopressin_expressing_neurons,0.1998040925,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,oli,0.20042,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,ependymal_cells,0.20238,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,globus_pallidus_externus_&_nucleus_basalis_epen...,0.20649,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,hippocampus_oligodendrocytes,0.20994,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,substantia_nigra_&_ventral_tegmental_area_astro...,0.2104594186,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,in4b,0.2105866353,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,ex3b,0.2155478548,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,neural_progenitors,0.2174003782,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,ex3e,0.2222115342,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,hypothalamic_gabaergic_neurons,0.22494,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,subcommissural_organ_hypendymal_cells,0.22543,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,di_and_mesencephalon_inhibitory_neurons,0.22892,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,globus_pallidus_externus_&_nucleus_basalis_mitotic,0.2332168514,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,pyramidal_neurons_ca1,0.2364394908,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 8,Habib et al. (2017)
Bryois2020,striatal_interneurons,0.23664,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,striatum_ependymal,0.2369317186,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,entopdeduncular_&_subthalamic_nuclei_endothelia...,0.24231,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,striatum_mural,0.24437,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,telencephalon_projecting_inhibitory_neurons,0.2445820539,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,globus_pallidus_externus_&_nucleus_basalis_endo...,0.2447350003,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,hippocampus_oligodendrocytes,0.2448884492,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,ex6a,0.2480104154,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,striatum_polydendrocytes,0.2484138536,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,choroid_epithelial_cells,0.24895,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,sympathetic_noradrenergic_neurons,0.25358,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,ex5a,0.25835,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,substantia_nigra_&_ventral_tegmental_area_endot...,0.26166,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,cerebellum_oligodendrocytes,0.26206,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,spinal_cord_excitatory_neurons,0.26835,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,peripheral_sensory_peptidergic_neurons,0.27036,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,cerebellum_microglia,0.27217,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,ast,0.2809982701,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,telencephalon_projecting_inhibitory_neurons,0.28198,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,striatum_neurogenesis,0.28846,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,hypothalamic_glutamatergic_neurons,0.288544411,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,in4a,0.29039,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
Bryois2020,hippocampus_macrophages,0.29124,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,ependymal_cells,0.2923890772,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 2,Zeisel et al. (2018)
Bryois2020,globus_pallidus_externus_&_nucleus_basalis_astr...,0.2932566914,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,thalamus_ependymal,0.29336,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,endothelial_mural_cells,0.30206,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 7,Skene et al. (2018)
Bryois2020,pyramidal_neurons_ca3,0.3039099123,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 8,Habib et al. (2017)
Bryois2020,posterior_cortex_endothelial_stalk,0.3045073865,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 6,Saunders et al. (2018)
Bryois2020,opc_cer,0.3057769785,,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 9,Lake et al. (2018)
