Sheet,Trait1,Trait2,corr,Reference,Source,Dataset
Nalls2019,parkinsons_disease,glutamine,0.2032,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_s76_injury_of_muscle_and_t...,0.2015,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,illnesses_of_mother_alzheimers_disease_dementia,0.1908,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_pneumothorax,0.1873,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mif_sumstats_gz,0.1846,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mean_caudate,0.1741,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_k76_other_diseases_of_liver,0.1738,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_m67_other_disorders_of_syn...,0.1703,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,forced_expiratory_volume_in_1_second_fev1,0.1683,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,amyotrophic_lateral_sclerosis,0.1624,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,rantes_sumstats_gz,0.1602,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,difference_in_height_between_adolescence_and_ad...,0.1588,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,why_reduced_smoking_illness_or_ill_health,0.1573,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,type_of_tobacco_previously_smoked_cigars_or_pipes,0.1559,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_o75_other_complications_of...,0.152,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_n19_unspecified_renal_failure,0.1514,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mothers_age_at_death,0.1497,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_hyperthyr...,0.1477,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_eczema_de...,0.1467,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,neck_shoulder_pain_for_3+_months,0.1438,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_k21_gastro_oesophageal_ref...,0.1435,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,age_of_smoking_initiation,0.1434,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,home_area_population_density_urban_or_rural_eng...,0.1429,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,current_employment_status_doing_unpaid_or_volun...,0.1415,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,why_stopped_smoking_health_precaution,0.1358,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,childhood_iq,0.1344,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,acetoacetate,0.1245,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mineral_and_other_dietary_supplements_fish_oil_...,0.1213,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,sitting_height_ratio,0.1201,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_enlarged_...,0.1175,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,free_cholesterol_in_very_large_hdl,0.1172,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,current_employment_status_retired,0.1158,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_r35_polyuria,0.1146,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_polio_pol...,0.1143,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,cholesterol_esters_in_medium_hdl,0.1138,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,fathers_age_at_death,0.1116,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_cholesterol_in_hdl,0.1111,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mothers_age_at_death,0.1096,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_cholesterol_in_medium_hdl,0.1096,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,ever_had_prostate_specific_antigen_psa_test,0.1085,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_f43_reaction_to_severe_str...,0.1069,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,forced_expiratory_volume_in_1_second_fev1,0.1064,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,types_of_physical_activity_in_last_4_weeks_walk...,0.1059,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,bngf_sumstats_gz,0.103,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,age_started_oral_contraceptive_pill,0.1028,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,age_of_first_birth,0.0994,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,albumin,0.0993,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,alcohol_usually_taken_with_meals,0.0974,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,leucine,0.0969,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_h25_senile_cataract,0.0968,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,primary_sclerosing_cholangitis,0.0956,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_e03_other_hypothyroidism,0.0948,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,vitamin_and_mineral_supplements_multivitamins_+...,0.0945,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,free_cholesterol_in_medium_hdl,0.0942,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mineral_and_other_dietary_supplements_selenium,0.0938,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,concentration_of_very_large_hdl_particles,0.0929,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_n81_female_genital_prolapse,0.0925,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,forced_expiratory_volume_in_1_second_fev1_force...,0.0923,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,illnesses_of_siblings_stroke,0.0913,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,phospholipids_in_medium_ldl,0.0912,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,chronic_kidney_disease,0.0893,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_lipids_in_medium_hdl,0.0892,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,cancer_code_self_reported_breast_cancer,0.0889,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_cholesterol_in_medium_ldl,0.0889,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,phospholipids_in_very_large_hdl,0.0882,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_chronic_o...,0.0881,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,free_cholesterol,0.0879,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,concentration_of_medium_hdl_particles,0.0864,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_e04_other_non_toxic_goitre,0.086,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,years_of_schooling_proxy_cognitive_performance,0.0855,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,number_of_incorrect_matches_in_round,0.0854,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,free_cholesterol_in_large_hdl,0.0852,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,average_weekly_red_wine_intake,0.0851,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,tyrosine,0.0841,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_cholesterol_in_large_hdl,0.0818,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_cholesterol_in_ldl,0.0816,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,18_2_linoleic_acid_la,0.0803,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,eye_problems_disorders_glaucoma,0.0801,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,parents_age_at_death,0.0796,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_kidney_st...,0.0789,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,triglycerides_in_very_large_hdl,0.0786,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,hair_balding_pattern_pattern_3,0.0782,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,age_at_first_live_birth,0.0769,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mouth_teeth_dental_problems_none_of_the_above,0.0765,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_c50_malignant_neoplasm_of_...,0.0763,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_cholesterol_in_very_large_hdl,0.0753,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,forced_vital_capacityfvc,0.0746,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,phospholipids_in_large_hdl,0.0744,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,concentration_of_large_hdl_particles,0.0741,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,years_of_schooling_2013,0.0739,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,bipolar_disorder,0.0736,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,heart_rate,0.073,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_hypertrop...,0.073,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,infant_head_circumference,0.0729,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,free_cholesterol_to_esterified_cholesterol_ratio,0.0727,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,types_of_physical_activity_in_last_4_weeks_ligh...,0.0724,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,phospholipids_in_large_ldl,0.0723,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_cholesterol_in_large_ldl,0.0714,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_lipids_in_large_hdl,0.0713,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,had_menopause,0.0711,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mcp1_sumstats_gz,0.0709,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,celiac_disease,0.0708,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,cancer_code_self_reported_prostate_cancer,0.0698,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,cholesterol_esters_in_large_hdl,0.0696,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,ever_had_stillbirth_spontaneous_miscarriage_or_...,0.0691,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,age_at_last_live_birth,0.0689,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,phospholipids_in_medium_hdl,0.0689,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_k52_other_non_infective_ga...,0.0676,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_uterine_f...,0.0662,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,difference_in_height_between_childhood_and_adul...,0.0661,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,ever_had_hysterectomy_womb_removed,0.0652,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_n40_hyperplasia_of_prostate,0.0639,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,free_cholesterol_in_large_ldl,0.0637,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,drive_faster_than_motorway_speed_limit,0.0632,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_j22_unspecified_acute_lowe...,0.0628,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mineral_and_other_dietary_supplements_glucosamine,0.0626,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_accidental_death_in_close_genetic_family,0.0623,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_lipids_in_small_hdl,0.062,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,other_eye_problems,0.0619,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,seen_a_psychiatrist_for_nerves_anxiety_tension_...,0.0613,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_glaucoma,0.0608,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,eye_problems_disorders_cataract,0.0608,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mean_hippocampus,0.0608,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_lipids_in_large_ldl,0.0605,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,concentration_of_large_ldl_particles,0.0601,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_cholesterol_in_idl,0.0601,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,cholesterol_esters_in_large_ldl,0.0588,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,illnesses_of_mother_none_of_the_above_group_1,0.0583,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,pulse_wave_arterial_stiffness_index,0.058,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_arthritis...,0.0574,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mean_diameter_for_hdl_particles,0.0572,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_lipids_in_idl,0.0571,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,qualifications_a_levels_as_levels_or_equivalent,0.057,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_lipids_in_very_large_hdl,0.0567,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,forced_expiratory_volume_in_1_second_fev1_force...,0.0566,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,average_number_of_double_bonds_in_a_fatty_acid_...,0.0563,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,extreme_waist_to_hip_ratio,0.0562,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,former_vs_current_smoker,0.056,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,isoleucine,0.0559,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_malabsorp...,0.0554,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,ferritin,0.0552,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,illness_injury_bereavement_stress_in_last_2_yea...,0.0544,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,illnesses_of_father_heart_disease,0.0543,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,qualifications_o_levels_gcses_or_equivalent,0.0541,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,pulse_rate,0.0535,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,phenylalanine,0.0533,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,college_completion,0.0529,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,forced_expiratory_volume_in_1_second_fev1,0.0524,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,neo_conscientiousness,0.0519,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,wears_glasses_or_contact_lenses,0.0512,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,concentration_of_idl_particles,0.0506,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_d12_benign_neoplasm_of_col...,0.0502,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,non_cancer_illness_code_self_reported_back_problem,0.0501,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,number_of_depression_episodes,0.0501,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,child_birth_weight,0.0499,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,urinary_albumin_to_creatinine_ratio_non_diabetes,0.0499,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,major_depressive_disorder,0.0493,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,concentration_of_medium_ldl_particles,0.0492,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,transport_type_for_commuting_to_job_workplace_c...,0.049,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,total_lipids_in_medium_ldl,0.0485,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
