Sheet,Tissue,Sig,Reference,Source,Dataset
Reynolds2019,Substantia nigra,4.08e-05,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Esophagus Muscularis,8.23e-05,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellar Hemisphere,9.55e-05,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Esophagus Gastroesophageal Junction,0.000108,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellar Hemisphere,0.000189,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Bladder,0.000305,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Amygdala,0.000313,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Putamen (basal ganglia),0.00041,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Nucleus accumbens (basal ganglia),0.00045,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Anterior cingulate cortex (BA24),0.000466,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Adrenal Gland,0.000509,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Hippocampus,0.000576,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Caudate (basal ganglia),0.000766,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellum,0.000843,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Frontal Cortex (BA9),0.000891,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Lung,0.001597028,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Hypothalamus,0.001734665,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Artery Coronary,0.001777995,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Artery Coronary,0.001789562,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cortex,0.001829979,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cortex,0.001944116,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Cortex,0.002161527,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Prostate,0.002185195,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Nerve Tibial,0.002383217,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Muscle Skeletal,0.002638792,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Heart Left Ventricle,0.002660238,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellum,0.002992279,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Muscle Skeletal,0.003186102,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Spleen,0.003486436,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Hippocampus,0.003682982,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Stomach,0.003737965,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Spleen,0.004050205,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cervix Endocervix,0.004059497,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Hippocampus,0.00410999,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Spinal cord (cervical c-1),0.004203841,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Esophagus Mucosa,0.00427126,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Thyroid,0.004651343,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Spinal cord (cervical c-1),0.004694747,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Kidney Cortex,0.005224968,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Frontal Cortex (BA9),0.005381098,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Substantia nigra,0.005725708,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Frontal Cortex (BA9),0.005817437,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Bladder,0.006830179,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cells EBV-transformed lymphocytes,0.00724261,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Anterior cingulate cortex (BA24),0.007344617,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Pituitary,0.007508765,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cervix Ectocervix,0.007526509,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Bladder,0.007700448,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Anterior cingulate cortex (BA24),0.007717448,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Heart Left Ventricle,0.008059535,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Substantia nigra,0.008101591,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Caudate (basal ganglia),0.008439472,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellar Hemisphere,0.008751108,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Amygdala,0.008889837,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Heart Left Ventricle,0.009031093,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Substantia nigra,0.009062364,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellar Hemisphere,0.009180464,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Frontal Cortex (BA9),0.009274932,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Caudate (basal ganglia),0.009326759,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Amygdala,0.00935374,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cervix Ectocervix,0.009594918,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cervix Ectocervix,0.00964465,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Spleen,0.010355891,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Skin Sun Exposed (Lower leg),0.011815648,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Uterus,0.012195557,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Hypothalamus,0.012387332,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Minor Salivary Gland,0.012613429,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Skin Sun Exposed (Lower leg),0.012801869,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Colon Transverse,0.013341086,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Hypothalamus,0.013402876,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Putamen (basal ganglia),0.013940466,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Minor Salivary Gland,0.014112159,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Frontal Cortex (BA9),0.014127231,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Frontal Cortex (BA9),0.014903892,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Putamen (basal ganglia),0.015045101,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Adrenal Gland,0.016309635,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Esophagus Muscularis,0.016602078,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Artery Coronary,0.017318485,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Spinal cord (cervical c-1),0.017330514,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Small Intestine Terminal Ileum,0.017464378,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellum,0.017583283,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellum,0.017974785,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Esophagus Muscularis,0.018315522,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Adipose Visceral (Omentum),0.01841917,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Artery Aorta,0.018606291,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Nucleus accumbens (basal ganglia),0.018864674,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Adrenal Gland,0.019054129,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Anterior cingulate cortex (BA24),0.019436502,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Small Intestine Terminal Ileum,0.01980431,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cortex,0.019890169,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Stomach,0.020412343,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Nucleus accumbens (basal ganglia),0.020612644,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Artery Aorta,0.020670259,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellum,0.020961235,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cerebellum,0.02131255,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Nucleus accumbens (basal ganglia),0.021627897,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2B),GTEx V6P bulk-RNA-seq
Reynolds2019,Heart Atrial Appendage,0.021660502,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Stomach,0.023065896,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cortex,0.023171209,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cortex,0.023252876,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cervix Endocervix,0.02471881,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Adipose Subcutaneous,0.024854107,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Nerve Tibial,0.024955943,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Nerve Tibial,0.025609989,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Cervix Endocervix,0.026168791,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Muscle Skeletal,0.027798121,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Lung,0.028362711,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Lung,0.029167354,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Vagina,0.029192553,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Uterus,0.031526473,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Colon Sigmoid,0.031896847,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Heart Atrial Appendage,0.032501688,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Uterus,0.034063817,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Pituitary,0.034178226,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Heart Atrial Appendage,0.035088016,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Vagina,0.035888283,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
Reynolds2019,Vagina,0.036196266,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
